,Rk,Player,School,Conf,G,Passing_Cmp,Passing_Att,Passing_Pct,Passing_Yds,Passing_Y/A,Passing_AY/A,Passing_TD,Passing_Int,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_Avg,Rushing_TD
156,43,Jamie Newman,Wake Forest,ACC,12,220,361,60.9,2868,7.9,8.0,26,11,145.3,180,574,3.2,6
157,44,Jarren Williams,Miami (FL),ACC,12,169,276,61.2,2187,7.9,8.2,19,7,145.4,67,-68,-1.0,0
158,45,Asher O'Hara,Middle Tennessee State,CUSA,12,210,335,62.7,2616,7.8,7.9,20,8,143.2,199,1058,5.3,9
159,46,Justin McMillan,Tulane,American,13,183,314,58.3,2444,7.8,7.4,17,10,135.2,169,745,4.4,12
160,47,Skylar Thompson,Kansas State,Big 12,13,177,297,59.6,2315,7.8,7.8,12,5,135.0,114,405,3.6,11
161,48,Adrian Martinez,Nebraska,Big Ten,10,149,251,59.4,1956,7.8,7.0,10,9,130.8,144,626,4.3,7
162,49,Holton Ahlers,East Carolina,American,12,264,442,59.7,3387,7.7,7.6,21,10,135.3,108,359,3.3,6
163,50,Jacob Eason,Washington,Pac-12,13,260,405,64.2,3132,7.7,8.0,23,8,143.9,46,-69,-1.5,1
164,51,Jett Duffey,Texas Tech,Big 12,10,239,367,65.1,2840,7.7,8.1,18,5,143.6,72,212,2.9,1
165,52,Zach Smith,Tulsa,American,12,246,429,57.3,3279,7.6,7.6,19,9,132.0,75,-96,-1.3,0
166,53,Jon Wassink,Western Michigan,MAC,13,241,407,59.2,3097,7.6,7.7,20,8,135.4,69,319,4.6,3
167,54,Ian Book,Notre Dame,Ind,13,240,399,60.2,3034,7.6,8.6,34,6,149.1,112,546,4.9,4
168,55,Caleb Evans,Louisiana-Monroe,Sun Belt,12,238,389,61.2,2939,7.6,7.5,21,10,137.3,140,794,5.7,12
169,56,Zac Thomas,Appalachian State,Sun Belt,14,225,359,62.7,2718,7.6,8.4,28,6,148.7,104,440,4.2,7
170,57,Jake Luton,Oregon State,Pac-12,11,222,358,62.0,2714,7.6,8.8,28,3,149.8,44,-87,-2.0,1
171,58,Brett Gabbert,Miami (OH),MAC,14,175,316,55.4,2411,7.6,7.2,11,8,125.9,88,72,0.8,3
172,59,Kelly Bryant,Missouri,SEC,10,181,292,62.0,2215,7.6,7.7,15,6,138.5,106,242,2.3,1
173,60,Fred Payton,Coastal Carolina,Sun Belt,10,119,187,63.6,1421,7.6,7.2,12,7,141.2,54,181,3.4,2
174,Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
175,61,Mason Fine,North Texas,CUSA,12,257,414,62.1,3088,7.5,7.9,29,9,143.5,55,-98,-1.8,2
176,62,Dorian Thompson-Robinson,UCLA,Pac-12,11,216,362,59.7,2701,7.5,7.1,21,12,134.9,118,198,1.7,4
177,63,Tevaka Tuioti,New Mexico,MWC,9,102,195,52.3,1460,7.5,6.8,7,6,120.9,52,262,5.0,0
178,64,Nathan Stanley,Iowa,Big Ten,13,237,399,59.4,2951,7.4,7.4,16,7,131.2,76,7,0.1,1
179,65,Jake Fromm,Georgia,SEC,14,234,385,60.8,2860,7.4,8.1,24,5,141.2,38,-12,-0.3,0
180,66,Ty Storey,Western Kentucky,CUSA,11,241,345,69.9,2567,7.4,7.3,14,7,141.7,118,276,2.3,7
181,67,Ross Bowers,Northern Illinois,MAC,9,166,287,57.8,2130,7.4,6.7,7,8,122.7,34,-111,-3.3,1
182,68,Jorge Reyna,Fresno State,MWC,12,236,365,64.7,2654,7.3,6.7,15,11,133.3,98,264,2.7,2
183,69,Isaiah Green,Marshall,CUSA,13,189,336,56.3,2438,7.3,6.7,15,11,125.4,114,300,2.6,5
184,70,Khalil Tate,Arizona,Pac-12,11,160,266,60.2,1954,7.3,6.5,14,11,131.0,90,413,4.6,3
185,71,Kai Locksley,UTEP,CUSA,11,103,181,56.9,1329,7.3,6.8,6,5,124.0,126,535,4.2,5
186,72,Jordan Love,Utah State,MWC,13,293,473,61.9,3402,7.2,6.4,20,17,129.1,81,175,2.2,0
187,73,Carter Stanley,Kansas,Big 12,12,226,371,60.9,2664,7.2,7.1,24,11,136.7,67,68,1.0,1
188,74,James Morgan,Florida International,CUSA,12,207,357,58.0,2585,7.2,7.4,14,5,128.9,32,-40,-1.3,2
189,75,Bryce Perkins,Virginia,ACC,14,319,495,64.4,3530,7.1,6.9,22,12,134.2,227,769,3.4,11
