,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,-additional
Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD,-9999
1,Robert Griffin III*,Baylor,Big 12,13,291,402,72.4,4293,10.7,11.8,37,6,189.5,179,699,3.9,10,robert-griffin-iii-1
2,Russell Wilson*,Wisconsin,Big Ten,14,225,309,72.8,3175,10.3,11.8,33,4,191.8,79,338,4.3,6,russell-wilson-1
3,Case Keenum*,Houston,CUSA,14,428,603,71.0,5631,9.3,10.6,48,5,174.0,57,35,0.6,3,case-keenum-1
4,Bryn Renner*,North Carolina,ACC,13,239,350,68.3,3086,8.8,8.6,26,13,159.4,57,-88,-1.5,1,bryn-renner-1
5,Terrance Owens*,Toledo,MAC,12,166,230,72.2,2022,8.8,9.8,18,3,169.2,41,209,5.1,1,terrance-owens-1
6,Kellen Moore*,Boise State,MWC,13,326,439,74.3,3800,8.7,9.7,43,9,175.2,20,-66,-3.3,0,kellen-moore-1
7,Andrew Luck*,Stanford,Pac-12,13,288,404,71.3,3517,8.7,9.4,37,10,169.7,47,150,3.2,2,andrew-luck-1
8,Blaine Gautier*,Louisiana,Sun Belt,13,216,344,62.8,2958,8.6,9.2,23,6,153.6,118,486,4.1,3,blaine-gautier-1
9,E.J. Manuel*,Florida State,ACC,12,203,311,65.3,2666,8.6,8.6,18,8,151.2,110,151,1.4,4,ej-manuel-1
10,Keith Price*,Washington,Pac-12,13,242,362,66.9,3063,8.5,8.9,33,11,161.9,56,10,0.2,3,keith-price-1
11,Casey Pachall*,TCU,MWC,13,228,343,66.5,2921,8.5,9.1,25,7,158.0,68,51,0.8,2,casey-pachall-1
12,John Brantley*,Florida,SEC,11,144,240,60.0,2044,8.5,8.1,11,7,140.8,25,-120,-4.8,0,john-brantley-1
13,Riley Nelson*,Brigham Young,Ind,12,116,202,57.4,1717,8.5,8.8,19,7,152.9,88,392,4.5,1,riley-nelson-1
14,Brandon Weeden*,Oklahoma State,Big 12,13,409,565,72.4,4727,8.4,8.6,37,13,159.7,17,-102,-6.0,1,brandon-weeden-1
15,Chandler Harnish*,Northern Illinois,MAC,14,237,384,61.7,3216,8.4,9.1,28,6,153.0,194,1379,7.1,11,chandler-harnish-1
16,Denard Robinson*,Michigan,Big Ten,13,142,258,55.0,2173,8.4,7.4,20,15,139.7,221,1176,5.3,16,denard-robinson-1
17,Geno Smith*,West Virginia,Big East,13,346,526,65.8,4385,8.3,8.9,31,7,152.6,56,-33,-0.6,2,geno-smith-1
18,Tyler Wilson*,Arkansas,SEC,13,277,438,63.2,3638,8.3,8.8,24,6,148.4,60,-3,-0.1,4,tyler-wilson-1
19,Jacory Harris,Miami (FL),ACC,11,195,300,65.0,2486,8.3,8.3,20,9,150.6,53,88,1.7,0,jacory-harris-1
20,Jeff Godfrey,UCF,CUSA,12,160,232,69.0,1898,8.2,7.6,5,5,140.5,111,405,3.6,9,jeff-godfrey-1
21,Kevin Prince*,UCLA,Pac-12,11,126,224,56.3,1828,8.2,7.6,12,8,135.3,120,424,3.5,1,kevin-prince-1
22,Darron Thomas*,Oregon,Pac-12,13,211,339,62.2,2761,8.1,9.2,33,7,158.7,56,206,3.7,3,darron-thomas-1
23,Tyler Tettleton*,Ohio,MAC,14,265,413,64.2,3306,8.0,8.3,28,10,148.9,167,666,4.0,10,tyler-tettleton-1
24,A.J. McCarron*,Alabama,SEC,13,219,328,66.8,2634,8.0,8.3,16,5,147.3,30,-22,-0.7,2,aj-mccarron-1
25,Dan Persa*,Northwestern,Big Ten,10,218,297,73.4,2376,8.0,8.1,17,7,154.8,79,32,0.4,1,dan-persa-1
26,Landry Jones*,Oklahoma,Big 12,13,355,562,63.2,4463,7.9,7.8,29,15,141.6,32,-24,-0.8,2,landry-jones-1
27,Derek Carr,Fresno State,WAC,13,279,446,62.6,3544,7.9,8.2,26,9,144.5,57,72,1.3,3,derek-carr-1
28,Matt Barkley,USC,Pac-12,12,308,446,69.1,3528,7.9,9.0,39,7,161.2,28,14,0.5,2,matt-barkley-1
29,Kirk Cousins*,Michigan State,Big Ten,14,267,419,63.7,3316,7.9,8.0,25,10,145.1,37,-39,-1.1,0,kirk-cousins-1
30,G.J. Kinne*,Tulsa,CUSA,13,247,390,63.3,3090,7.9,8.0,28,12,147.4,125,405,3.2,3,gj-kinne-1
31,Brock Osweiler*,Arizona State,Pac-12,13,326,516,63.2,4036,7.8,7.7,26,13,140.5,83,90,1.1,3,brock-osweiler-1
32,Zac Dysert,Miami (OH),MAC,12,295,448,65.8,3513,7.8,7.8,23,11,143.7,125,115,0.9,4,zac-dysert-1
33,Aaron Murray*,Georgia,SEC,14,238,403,59.1,3149,7.8,8.0,35,14,146.4,87,111,1.3,2,aaron-murray-1
34,Cody Fajardo*,Nevada,WAC,10,150,218,68.8,1707,7.8,7.1,6,6,138.2,128,694,5.4,11,cody-fajardo-1
35,Nick Foles,Arizona,Pac-12,12,387,560,69.1,4334,7.7,7.6,28,14,145.6,43,-103,-2.4,0,nick-foles-1
36,Alex Carder*,Western Michigan,MAC,12,330,502,65.7,3873,7.7,7.7,31,14,145.3,128,270,2.1,4,alex-carder-1
37,Tajh Boyd*,Clemson,ACC,14,298,499,59.7,3828,7.7,7.9,33,12,141.2,142,218,1.5,5,tajh-boyd-1
38,Logan Thomas*,Virginia Tech,ACC,14,234,391,59.8,3013,7.7,7.5,19,10,135.5,153,469,3.1,11,logan-thomas-1
39,Nick Lamaison,UTEP,CUSA,9,130,224,58.0,1718,7.7,6.7,12,10,131.2,40,39,1.0,1,nick-lamaison-1
40,James Franklin*,Missouri,Big 12,13,238,376,63.3,2865,7.6,7.4,21,11,139.9,217,981,4.5,15,james-franklin-1
41,Marshall Lobbestael,Washington State,Pac-12,11,208,341,61.0,2584,7.6,7.6,19,8,138.3,42,-103,-2.5,1,marshall-lobbestael-1
42,Alex Gillett,Eastern Michigan,MAC,12,109,198,55.1,1504,7.6,7.4,14,7,135.1,169,736,4.4,3,alex-gillett-1
43,Ryan Aplin*,Arkansas State,Sun Belt,13,304,476,63.9,3588,7.5,6.8,19,16,133.6,161,588,3.7,10,ryan-aplin-1
44,J.J. McDermott*,SMU,CUSA,13,272,455,59.8,3421,7.5,6.7,17,16,128.2,40,-123,-3.1,1,jj-mcdermott-1
45,Matt Faulkner,San Jose State,WAC,11,274,422,64.9,3149,7.5,6.7,13,13,131.6,32,-77,-2.4,0,matt-faulkner-1
46,James Vandenberg*,Iowa,Big Ten,13,237,404,58.7,3022,7.5,7.9,25,7,138.5,78,61,0.8,3,james-vandenberg-1
47,Austin Davis*,Southern Mississippi,CUSA,14,286,475,60.2,3496,7.4,7.6,30,11,138.2,110,352,3.2,4,austin-davis-1
48,Zach Maynard*,California,Pac-12,13,231,405,57.0,2990,7.4,6.9,17,12,127.0,84,108,1.3,4,zach-maynard-1
49,Ryan Radcliff,Central Michigan,MAC,12,257,453,56.7,3286,7.3,6.8,25,16,128.8,30,-69,-2.3,0,ryan-radcliff-1
50,Matt Schilz,Bowling Green State,MAC,12,245,412,59.5,3024,7.3,7.3,28,13,137.2,51,-60,-1.2,0,matt-schilz-1
51,Michael Rocco*,Virginia,ACC,13,222,366,60.7,2671,7.3,6.5,13,12,127.1,40,20,0.5,2,michael-rocco-1
52,Nathan Scheelhaase*,Illinois,Big Ten,13,184,291,63.2,2110,7.3,6.9,13,8,133.4,191,624,3.3,6,nathan-scheelhaase-1
53,Taylor Martinez*,Nebraska,Big Ten,13,162,288,56.3,2089,7.3,6.9,13,8,126.5,188,874,4.6,9,taylor-martinez-1
54,Wesley Carroll*,Florida International,Sun Belt,13,200,332,60.2,2374,7.2,7.5,14,4,131.8,38,-10,-0.3,0,wesley-carroll-1
55,Teddy Bridgewater*,Louisville,Big East,13,191,296,64.5,2129,7.2,6.3,14,12,132.4,89,66,0.7,4,teddy-bridgewater-1
56,Ryan Tannehill*,Texas A&M,Big 12,13,327,531,61.6,3744,7.1,6.9,29,15,133.2,58,306,5.3,4,ryan-tannehill-1
57,Ryan Lindley*,San Diego State,MWC,13,237,447,53.0,3153,7.1,7.3,23,8,125.7,18,-51,-2.8,0,ryan-lindley-1
58,Tanner Price*,Wake Forest,ACC,13,253,422,60.0,3017,7.1,7.5,20,6,132.8,78,-53,-0.7,1,tanner-price-1
59,B.J. Daniels,South Florida,Big East,11,215,365,58.9,2604,7.1,7.0,13,7,126.7,132,601,4.6,6,bj-daniels-1
60,Zach Collaros*,Cincinnati,Big East,10,166,272,61.0,1940,7.1,6.6,15,10,131.8,84,234,2.8,8,zach-collaros-1
61,Jordan Rodgers*,Vanderbilt,SEC,13,108,216,50.0,1524,7.1,5.8,9,10,113.8,117,420,3.6,4,jordan-rodgers-1
62,Sean Mannion,Oregon State,Pac-12,12,305,473,64.5,3328,7.0,6.0,16,18,127.1,32,-190,-5.9,1,sean-mannion-1
63,Tyler Hansen,Colorado,Pac-12,13,231,412,56.1,2883,7.0,6.8,20,11,125.5,81,115,1.4,3,tyler-hansen-1
64,Tommy Rees*,Notre Dame,Ind,13,269,411,65.5,2871,7.0,6.4,20,14,133.4,31,-56,-1.8,0,tommy-rees-1
65,Marqueis Gray,Minnesota,Big Ten,11,108,213,50.7,1495,7.0,6.1,8,8,114.5,199,966,4.9,6,marqueis-gray-1
66,Seth Doege,Texas Tech,Big 12,12,398,581,68.5,4004,6.9,7.1,28,10,138.9,54,46,0.9,4,seth-doege-1
67,Bryant Moniz,Hawaii,WAC,10,248,397,62.5,2733,6.9,7.4,22,5,136.1,81,293,3.6,8,bryant-moniz-1
68,Caleb Terbush*,Purdue,Big Ten,13,171,277,61.7,1905,6.9,6.8,13,6,130.7,83,219,2.6,1,caleb-terbush-1
69,Tino Sunseri*,Pitt,Big East,13,247,385,64.2,2616,6.8,6.0,10,11,124.1,154,86,0.6,4,tino-sunseri-1
70,Rakeem Cato*,Marshall,CUSA,13,182,304,59.9,2059,6.8,6.1,15,11,125.8,57,32,0.6,0,rakeem-cato-1
71,Jonathan Perry,UAB,CUSA,12,174,300,58.0,2042,6.8,6.3,10,8,120.8,92,294,3.2,3,jonathan-perry-1
72,Collin Klein*,Kansas State,Big 12,13,161,281,57.3,1918,6.8,6.8,13,6,125.6,317,1141,3.6,27,collin-klein-1
73,Matt McGloin*,Penn State,Big Ten,12,125,231,54.1,1571,6.8,6.5,8,5,118.3,24,-12,-0.5,0,matt-mcgloin-1
