,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,-additional
96,Dayne Crist,Kansas,Big 12,10,103,216,47.7,1313,6.1,4.6,4,9,96.5,27,-66,-2.4,0,dayne-crist-1
97,Nick Sherry,UNLV,MWC,12,226,426,53.1,2544,6.0,4.9,16,17,107.6,45,-46,-1.0,1,nick-sherry-1
98,Steele Jantz*,Iowa State,Big 12,11,167,269,62.1,1603,6.0,4.9,13,12,119.2,92,216,2.3,1,steele-jantz-1
99,Trevor Siemian*,Northwestern,Big Ten,13,128,218,58.7,1312,6.0,5.9,6,3,115.6,21,48,2.3,1,trevor-siemian-1
100,Alex Zordich,Buffalo,MAC,11,106,208,51.0,1254,6.0,5.4,9,7,109.2,100,500,5.0,1,alex-zordich-1
101,Garrett Gilbert*,SMU,CUSA,13,268,506,53.0,2932,5.8,5.1,15,15,105.5,94,346,3.7,8,garrett-gilbert-1
102,Andrew Maxwell*,Michigan State,Big Ten,13,234,446,52.5,2606,5.8,5.5,13,9,107.1,37,-106,-2.9,0,andrew-maxwell-1
103,James Vandenberg,Iowa,Big Ten,12,223,389,57.3,2249,5.8,5.2,7,8,107.7,63,16,0.3,4,james-vandenberg-1
104,Tanner Price,Wake Forest,ACC,12,228,410,55.6,2300,5.6,5.4,12,7,109.0,77,-26,-0.3,2,tanner-price-1
105,Sean Schroeder,Hawaii,MWC,12,175,344,50.9,1878,5.5,4.5,11,12,100.3,54,-169,-3.1,1,sean-schroeder-1
106,Nathan Scheelhaase,Illinois,Big Ten,10,149,246,60.6,1361,5.5,4.4,4,8,105.9,125,303,2.4,4,nathan-scheelhaase-1
107,Jordan Webb,Colorado,Pac-12,10,144,265,54.3,1434,5.4,4.7,8,8,103.7,64,-135,-2.1,2,jordan-webb-1
108,Mike Wegzyn,Massachusetts,MAC,11,182,346,52.6,1825,5.3,4.3,6,10,96.8,93,141,1.5,2,mike-wegzyn-1
