,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,-additional
Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD,-9999
1,Aaron Murray*,Georgia,SEC,14,249,386,64.5,3893,10.1,10.8,36,10,174.8,59,-68,-1.2,3,aaron-murray-1
2,Nick Florence*,Baylor,Big 12,13,286,464,61.6,4309,9.3,9.4,33,13,157.5,139,568,4.1,10,nick-florence-1
3,David Fales*,San Jose State,WAC,13,327,451,72.5,4193,9.3,9.9,33,9,170.8,42,-139,-3.3,0,david-fales-1
4,A.J. McCarron*,Alabama,SEC,14,211,314,67.2,2933,9.3,10.8,30,3,175.3,49,4,0.1,1,aj-mccarron-1
5,Tajh Boyd*,Clemson,ACC,13,287,427,67.2,3896,9.1,9.4,36,13,165.6,186,514,2.8,10,tajh-boyd-1
6,Terrance Broadway*,Louisiana,Sun Belt,13,206,315,65.4,2847,9.0,8.8,17,9,153.4,119,769,6.5,9,terrance-broadway-1
7,Teddy Bridgewater*,Louisville,Big East,13,287,419,68.5,3718,8.9,9.3,27,8,160.5,74,26,0.4,1,teddy-bridgewater-1
8,E.J. Manuel*,Florida State,ACC,14,263,387,68.0,3397,8.8,8.8,23,10,156.1,103,310,3.0,4,ej-manuel-1
9,Collin Klein*,Kansas State,Big 12,13,197,304,64.8,2641,8.7,8.4,16,9,149.2,207,920,4.4,23,collin-klein-1
10,Brett Smith,Wyoming,MWC,10,205,330,62.1,2837,8.6,9.4,27,6,157.7,114,248,2.2,6,brett-smith-1
11,Connor Shaw*,South Carolina,SEC,11,154,228,67.5,1956,8.6,8.7,17,7,158.1,131,435,3.3,3,connor-shaw-1
12,Johnny Manziel*,Texas A&M,SEC,13,295,434,68.0,3706,8.5,8.8,26,9,155.3,201,1410,7.0,21,johnny-manziel-1
13,Matt Barkley*,USC,Pac-12,11,246,387,63.6,3273,8.5,8.6,36,15,157.6,25,-72,-2.9,0,matt-barkley-1
14,Taylor Kelly*,Arizona State,Pac-12,13,241,359,67.1,3039,8.5,9.0,29,9,159.9,134,516,3.9,1,taylor-kelly-1
15,David Ash*,Texas,Big 12,12,214,318,67.3,2699,8.5,8.6,19,8,153.3,51,141,2.8,2,david-ash-1
16,Tyler Wilson,Arkansas,SEC,11,249,401,62.1,3387,8.4,8.0,21,13,143.8,41,7,0.2,0,tyler-wilson-1
17,Tino Sunseri*,Pitt,Big East,13,256,393,65.1,3288,8.4,9.1,21,3,151.5,68,-191,-2.8,1,tino-sunseri-1
18,Chuckie Keeton*,Utah State,WAC,13,275,407,67.6,3373,8.3,8.6,27,9,154.7,129,619,4.8,8,chuckie-keeton-1
19,Ryan Aplin*,Arkansas State,Sun Belt,13,276,406,68.0,3342,8.2,9.0,24,4,154.7,104,438,4.2,6,ryan-aplin-1
20,Geno Smith*,West Virginia,Big 12,13,369,518,71.2,4205,8.1,9.2,42,6,163.9,66,151,2.3,2,geno-smith-1
21,Bo Wallace*,Ole Miss,SEC,13,235,368,63.9,2994,8.1,7.3,22,17,142.7,143,390,2.7,8,bo-wallace-1
22,Jake Medlock,Florida International,Sun Belt,9,152,263,57.8,2127,8.1,8.7,13,2,140.5,87,236,2.7,3,jake-medlock-1
23,Derek Carr*,Fresno State,MWC,13,344,511,67.3,4104,8.0,8.9,37,7,155.9,66,1,0.0,0,derek-carr-1
24,Ryan Nassib*,Syracuse,Big East,13,294,471,62.4,3749,8.0,8.1,26,10,143.3,84,142,1.7,2,ryan-nassib-1
25,Tyler Bray,Tennessee,SEC,12,268,451,59.4,3612,8.0,8.3,34,12,146.3,15,-34,-2.3,0,tyler-bray-1
26,Bryn Renner,North Carolina,ACC,12,276,422,65.4,3356,8.0,8.5,28,7,150.8,61,38,0.6,1,bryn-renner-1
27,Jordan Lynch*,Northern Illinois,MAC,14,237,394,60.2,3138,8.0,8.5,25,6,144.9,294,1815,6.2,19,jordan-lynch-1
28,Corey Robinson,Troy,Sun Belt,11,257,389,66.1,3121,8.0,7.6,12,9,139.0,21,-47,-2.2,1,corey-robinson-1
29,Marcus Mariota*,Oregon,Pac-12,13,230,336,68.5,2677,8.0,9.1,32,6,163.2,106,752,7.1,5,marcus-mariota-1
30,Jordan Rodgers*,Vanderbilt,SEC,12,191,319,59.9,2539,8.0,8.2,15,5,139.1,91,71,0.8,2,jordan-rodgers-1
31,Kawaun Jakes*,Western Kentucky,Sun Belt,13,200,312,64.1,2488,8.0,7.8,22,11,147.3,66,58,0.9,3,kawaun-jakes-1
32,Braxton Miller,Ohio State,Big Ten,12,148,254,58.3,2039,8.0,8.1,15,6,140.5,227,1271,5.6,13,braxton-miller-1
33,Colby Cameron,Louisiana Tech,WAC,12,359,522,68.8,4147,7.9,8.7,31,5,153.2,61,177,2.9,4,colby-cameron-1
34,Stephen Morris,Miami (FL),ACC,12,245,421,58.2,3345,7.9,8.2,21,7,138.1,51,70,1.4,1,stephen-morris-1
35,Sean Mannion*,Oregon State,Pac-12,10,200,309,64.7,2446,7.9,7.0,15,13,138.8,18,-85,-4.7,0,sean-mannion-1
36,Seth Doege*,Texas Tech,Big 12,13,380,541,70.2,4205,7.8,7.9,39,16,153.4,48,59,1.2,2,seth-doege-1
37,Brett Hundley*,UCLA,Pac-12,14,318,478,66.5,3740,7.8,8.0,29,11,147.7,160,355,2.2,9,brett-hundley-1
38,Ryan Radcliff*,Central Michigan,MAC,13,242,407,59.5,3163,7.8,7.9,23,9,139.0,29,-32,-1.1,0,ryan-radcliff-1
39,Taylor Martinez*,Nebraska,Big Ten,14,228,368,62.0,2871,7.8,7.6,23,12,141.6,195,1019,5.2,10,taylor-martinez-1
40,Landry Jones*,Oklahoma,Big 12,13,367,555,66.1,4267,7.7,7.9,30,11,144.6,14,-110,-7.9,0,landry-jones-1
41,Blake Bortles*,UCF,CUSA,14,251,399,62.9,3059,7.7,8.1,25,7,144.5,87,285,3.3,8,blake-bortles-1
42,Tyler Tettleton*,Ohio,MAC,12,228,367,62.1,2844,7.7,8.2,18,4,141.2,120,244,2.0,4,tyler-tettleton-1
43,Terrance Owens*,Toledo,MAC,12,215,350,61.4,2707,7.7,7.5,14,8,135.0,101,395,3.9,5,terrance-owens-1
44,Logan Kilgore,Middle Tennessee State,Sun Belt,12,212,335,63.3,2571,7.7,7.8,16,6,139.9,22,72,3.3,1,logan-kilgore-1
45,Cody Fajardo*,Nevada,MWC,12,246,367,67.0,2786,7.6,7.6,20,9,143.9,190,1121,5.9,12,cody-fajardo-1
46,Everett Golson*,Notre Dame,Ind,12,187,318,58.8,2405,7.6,7.5,12,6,131.0,94,298,3.2,6,everett-golson-1
47,Shane Carden*,East Carolina,CUSA,13,273,413,66.1,3116,7.5,7.6,23,10,143.0,85,74,0.9,8,shane-carden-1
48,Austin Brown,UAB,CUSA,12,205,355,57.7,2673,7.5,6.9,15,12,128.2,62,-237,-3.8,0,austin-brown-2
49,Zach Maynard,California,Pac-12,10,180,296,60.8,2214,7.5,6.8,12,10,130.3,98,38,0.4,3,zach-maynard-1
50,Munchie Legaux*,Cincinnati,Big East,11,120,230,52.2,1716,7.5,6.8,13,9,125.7,55,335,6.1,4,munchie-legaux-1
51,Tyler Russell*,Mississippi State,SEC,13,231,394,58.6,2897,7.4,7.4,24,10,135.4,43,-5,-0.1,2,tyler-russell-1
52,Joe Southwick*,Boise State,MWC,13,248,371,66.8,2730,7.4,7.5,19,7,141.8,46,121,2.6,0,joe-southwick-1
53,Chandler Whitmer,Connecticut,Big East,12,208,361,57.6,2664,7.4,5.9,9,16,119.0,63,-161,-2.6,0,chandler-whitmer-1
54,Zach Mettenberger*,LSU,SEC,13,207,352,58.8,2609,7.4,7.2,12,7,128.3,47,-208,-4.4,0,zach-mettenberger-1
55,Eric Soza,UTSA,WAC,10,166,282,58.9,2085,7.4,8.3,20,3,142.2,67,364,5.4,6,eric-soza-1
56,Matt Scott*,Arizona,Pac-12,12,301,499,60.3,3620,7.3,7.1,27,14,133.5,113,506,4.5,6,matt-scott-1
57,Zac Dysert,Miami (OH),MAC,12,302,480,62.9,3483,7.3,7.2,25,12,136.1,108,265,2.5,2,zac-dysert-1
58,Matt McGloin,Penn State,Big Ten,12,270,446,60.5,3271,7.3,7.9,24,5,137.7,59,-51,-0.9,5,matt-mcgloin-1
59,Rakeem Cato,Marshall,CUSA,12,406,584,69.5,4201,7.2,7.6,37,11,147.1,57,31,0.5,1,rakeem-cato-1
60,Andrew Manley,New Mexico State,WAC,12,207,384,53.9,2764,7.2,6.8,18,11,124.1,64,-194,-3.0,2,andrew-manley-1
61,B.J. Daniels,South Florida,Big East,9,165,290,56.9,2075,7.2,6.6,14,10,126.0,104,434,4.2,5,bj-daniels-1
62,Michael Rocco,Virginia,ACC,11,161,266,60.5,1917,7.2,6.5,13,10,129.7,35,78,2.2,0,michael-rocco-1
63,Mike Glennon*,North Carolina State,ACC,13,330,564,58.5,4031,7.1,6.9,31,17,130.7,56,-164,-2.9,2,mike-glennon-1
64,Sean Renfree*,Duke,ACC,12,297,441,67.3,3113,7.1,6.9,19,10,136.3,38,-50,-1.3,1,sean-renfree-1
65,Kolton Browning*,Louisiana-Monroe,Sun Belt,12,273,428,63.8,3049,7.1,7.4,29,10,141.3,146,488,3.3,7,kolton-browning-1
66,Derek Thompson,North Texas,Sun Belt,12,214,372,57.5,2629,7.1,6.1,14,14,121.8,39,26,0.7,2,derek-thompson-1
67,Shaun Rutherford,Texas State,WAC,12,193,299,64.5,2137,7.1,7.4,15,5,137.8,168,597,3.6,5,shaun-rutherford-1
68,Tyler Benz,Eastern Michigan,MAC,10,114,212,53.8,1506,7.1,6.7,14,8,127.7,67,114,1.7,1,tyler-benz-1
69,Ryan Griffin,Tulane,CUSA,9,245,394,62.2,2771,7.0,6.8,20,11,132.4,32,-127,-4.0,0,ryan-griffin-2
70,Trevone Boykin*,TCU,Big 12,12,167,292,57.2,2054,7.0,6.5,15,10,126.4,127,417,3.3,3,trevone-boykin-1
71,Tyler Van Tubbergen,Western Michigan,MAC,11,159,261,60.9,1825,7.0,6.2,15,11,130.2,40,97,2.4,3,tyler-van-tubbergen-1
72,Logan Thomas*,Virginia Tech,ACC,13,220,429,51.3,2976,6.9,6.1,18,16,115.9,174,524,3.0,9,logan-thomas-1
73,Graham Wilbert,Florida Atlantic,Sun Belt,12,261,405,64.4,2814,6.9,7.2,18,6,134.5,64,58,0.9,2,graham-wilbert-1
74,Gary Nova*,Rutgers,Big East,13,221,388,57.0,2695,6.9,6.2,22,16,125.8,22,-44,-2.0,0,gary-nova-1
75,Jacob Karam,Memphis,CUSA,12,176,274,64.2,1895,6.9,7.4,14,3,137.0,101,221,2.2,1,jacob-karam-1
76,Robert Marve*,Purdue,Big Ten,10,166,253,65.6,1734,6.9,7.2,15,5,138.8,40,6,0.2,0,robert-marve-1
77,Taylor McHargue*,Rice,CUSA,12,194,325,59.7,2209,6.8,6.8,12,5,125.9,164,667,4.1,11,taylor-mchargue-1
78,Keith Wenning*,Ball State,MAC,12,301,460,65.4,3095,6.7,6.8,24,10,134.8,56,105,1.9,3,keith-wenning-1
79,Cameron Coffman,Indiana,Big Ten,11,247,407,60.7,2734,6.7,6.2,15,11,123.9,37,-1,0.0,1,cameron-coffman-1
80,Nick Lamaison,UTEP,CUSA,10,126,252,50.0,1686,6.7,6.0,12,9,114.8,55,69,1.3,0,nick-lamaison-1
81,Jeff Driskel*,Florida,SEC,12,156,245,63.7,1646,6.7,6.8,12,5,132.2,118,413,3.5,4,jeff-driskel-1
82,James Franklin,Missouri,SEC,9,139,234,59.4,1562,6.7,6.2,10,7,123.6,88,122,1.4,0,james-franklin-1
83,Chase Rettig,Boston College,ACC,12,253,467,54.2,3060,6.6,6.0,17,13,115.7,54,-169,-3.1,0,chase-rettig-1
84,Dalton Williams,Akron,MAC,12,326,522,62.5,3387,6.5,6.1,25,16,126.6,29,-125,-4.3,0,dalton-williams-1
85,David Piland,Houston,CUSA,11,256,448,57.1,2929,6.5,6.0,16,12,118.5,45,190,4.2,2,david-piland-1
86,Riley Nelson*,Brigham Young,Ind,10,181,308,58.8,2011,6.5,5.5,13,13,119.1,86,196,2.3,1,riley-nelson-1
87,Connor Halliday,Washington State,Pac-12,9,152,291,52.2,1878,6.5,5.5,15,13,114.5,27,-156,-5.8,0,connor-halliday-1
88,Travis Wilson,Utah,Pac-12,12,128,204,62.7,1311,6.4,5.8,7,6,122.2,64,40,0.6,4,travis-wilson-4
89,Keith Price*,Washington,Pac-12,13,263,432,60.9,2728,6.3,5.8,19,13,122.4,69,-34,-0.5,2,keith-price-1
90,Matt Schilz*,Bowling Green State,MAC,13,228,413,55.2,2585,6.3,5.6,14,12,113.2,32,-9,-0.3,1,matt-schilz-1
91,Jeff Tuel,Washington State,Pac-12,10,211,332,63.6,2087,6.3,5.7,8,8,119.5,55,-115,-2.1,0,jeff-tuel-1
92,Cody Green*,Tulsa,CUSA,13,228,419,54.4,2592,6.2,5.8,17,11,114.5,78,283,3.6,4,cody-green-1
93,Ross Metheny,South Alabama,Sun Belt,13,189,345,54.8,2148,6.2,5.4,12,12,111.6,99,141,1.4,1,ross-metheny-1
94,Phillip Sims,Virginia,ACC,12,114,203,56.2,1263,6.2,6.2,9,4,119.1,34,18,0.5,2,phillip-sims-1
95,Spencer Keith*,Kent State,MAC,14,183,333,55.0,2021,6.1,5.4,12,10,111.8,72,196,2.7,5,spencer-keith-1
