,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,-additional
30,Sam Ehlinger*,Texas,Big 12,13,296,454,65.2,3663,8.1,8.5,32,10,151.8,163,663,4.1,7,sam-ehlinger-1
31,Justin Herbert*,Oregon,Pac-12,14,286,428,66.8,3471,8.1,9.0,32,6,156.8,58,50,0.9,4,justin-herbert-1
32,Charlie Brewer*,Baylor,Big 12,14,251,389,64.5,3161,8.1,8.4,21,7,147.0,147,344,2.3,11,charlie-brewer-1
33,Levi Lewis*,Louisiana,Sun Belt,14,243,378,64.3,3050,8.1,9.0,26,4,152.6,69,195,2.8,3,levi-lewis-1
34,J'mar Smith*,Louisiana Tech,CUSA,11,236,367,64.3,2977,8.1,8.5,18,5,145.9,100,264,2.6,4,jmar-smith-1
35,Shane Buechele*,SMU,American,13,307,490,62.7,3929,8.0,8.5,34,10,148.8,64,105,1.6,2,shane-buechele-1
36,Shea Patterson*,Michigan,Big Ten,13,214,381,56.2,3061,8.0,8.3,23,8,139.4,87,50,0.6,5,shea-patterson-1
37,Jack Coan*,Wisconsin,Big Ten,14,236,339,69.6,2727,8.0,8.4,18,5,151.8,56,22,0.4,4,jack-coan-1
38,James Blackman*,Florida State,ACC,12,184,292,63.0,2339,8.0,7.5,17,11,142.0,68,41,0.6,1,james-blackman-1
39,Chris Robison*,Florida Atlantic,CUSA,14,291,471,61.8,3701,7.9,8.5,28,6,144.9,84,-60,-0.7,2,chris-robison-1
40,Kaleb Barker,Troy,Sun Belt,12,299,460,65.0,3628,7.9,8.2,30,10,148.4,86,137,1.6,2,kaleb-barker-1
41,Mike Glass III*,Eastern Michigan,MAC,12,266,401,66.3,3169,7.9,7.9,24,11,147.0,118,428,3.6,8,mike-glass-iii-1
42,Drew Plitt,Ball State,MAC,12,238,370,64.3,2918,7.9,8.3,24,7,148.2,91,171,1.9,5,drew-plitt-1
43,Jamie Newman*,Wake Forest,ACC,12,220,361,60.9,2868,7.9,8.0,26,11,145.3,180,574,3.2,6,jamie-newman-1
44,Jarren Williams*,Miami (FL),ACC,12,169,276,61.2,2187,7.9,8.2,19,7,145.4,67,-68,-1.0,0,jarren-williams-1
45,Asher O'Hara,Middle Tennessee State,CUSA,12,210,335,62.7,2616,7.8,7.9,20,8,143.2,199,1058,5.3,9,asher-ohara-1
46,Justin McMillan*,Tulane,American,13,183,314,58.3,2444,7.8,7.4,17,10,135.2,169,745,4.4,12,justin-mcmillan-1
47,Skylar Thompson*,Kansas State,Big 12,13,177,297,59.6,2315,7.8,7.8,12,5,135.0,114,405,3.6,11,skylar-thompson-1
48,Adrian Martinez,Nebraska,Big Ten,10,149,251,59.4,1956,7.8,7.0,10,9,130.8,144,626,4.3,7,adrian-martinez-2
49,Holton Ahlers,East Carolina,American,12,264,442,59.7,3387,7.7,7.6,21,10,135.3,108,359,3.3,6,holton-ahlers-1
50,Jacob Eason*,Washington,Pac-12,13,260,405,64.2,3132,7.7,8.0,23,8,143.9,46,-69,-1.5,1,jacob-eason-1
51,Jett Duffey,Texas Tech,Big 12,10,239,367,65.1,2840,7.7,8.1,18,5,143.6,72,212,2.9,1,jett-duffey-1
52,Zach Smith,Tulsa,American,12,246,429,57.3,3279,7.6,7.6,19,9,132.0,75,-96,-1.3,0,zach-smith-6
53,Jon Wassink*,Western Michigan,MAC,13,241,407,59.2,3097,7.6,7.7,20,8,135.4,69,319,4.6,3,jon-wassink-1
54,Ian Book*,Notre Dame,Ind,13,240,399,60.2,3034,7.6,8.6,34,6,149.1,112,546,4.9,4,ian-book-1
55,Caleb Evans,Louisiana-Monroe,Sun Belt,12,238,389,61.2,2939,7.6,7.5,21,10,137.3,140,794,5.7,12,caleb-evans-2
56,Zac Thomas*,Appalachian State,Sun Belt,14,225,359,62.7,2718,7.6,8.4,28,6,148.7,104,440,4.2,7,zac-thomas-2
57,Jake Luton,Oregon State,Pac-12,11,222,358,62.0,2714,7.6,8.8,28,3,149.8,44,-87,-2.0,1,jake-luton-1
58,Brett Gabbert*,Miami (OH),MAC,14,175,316,55.4,2411,7.6,7.2,11,8,125.9,88,72,0.8,3,brett-gabbert-1
59,Kelly Bryant,Missouri,SEC,10,181,292,62.0,2215,7.6,7.7,15,6,138.5,106,242,2.3,1,kelly-bryant-1
60,Fred Payton,Coastal Carolina,Sun Belt,10,119,187,63.6,1421,7.6,7.2,12,7,141.2,54,181,3.4,2,fred-payton-1
61,Mason Fine,North Texas,CUSA,12,257,414,62.1,3088,7.5,7.9,29,9,143.5,55,-98,-1.8,2,mason-fine-1
62,Dorian Thompson-Robinson,UCLA,Pac-12,11,216,362,59.7,2701,7.5,7.1,21,12,134.9,118,198,1.7,4,dorian-thompson-robinson-1
63,Tevaka Tuioti,New Mexico,MWC,9,102,195,52.3,1460,7.5,6.8,7,6,120.9,52,262,5.0,0,tevaka-tuioti-1
64,Nathan Stanley*,Iowa,Big Ten,13,237,399,59.4,2951,7.4,7.4,16,7,131.2,76,7,0.1,1,nathan-stanley-2
65,Jake Fromm*,Georgia,SEC,14,234,385,60.8,2860,7.4,8.1,24,5,141.2,38,-12,-0.3,0,jake-fromm-1
66,Ty Storey*,Western Kentucky,CUSA,11,241,345,69.9,2567,7.4,7.3,14,7,141.7,118,276,2.3,7,ty-storey-1
67,Ross Bowers,Northern Illinois,MAC,9,166,287,57.8,2130,7.4,6.7,7,8,122.7,34,-111,-3.3,1,ross-bowers-1
68,Jorge Reyna,Fresno State,MWC,12,236,365,64.7,2654,7.3,6.7,15,11,133.3,98,264,2.7,2,jorge-reyna-1
69,Isaiah Green*,Marshall,CUSA,13,189,336,56.3,2438,7.3,6.7,15,11,125.4,114,300,2.6,5,isaiah-green-2
70,Khalil Tate,Arizona,Pac-12,11,160,266,60.2,1954,7.3,6.5,14,11,131.0,90,413,4.6,3,khalil-tate-1
71,Kai Locksley,UTEP,CUSA,11,103,181,56.9,1329,7.3,6.8,6,5,124.0,126,535,4.2,5,kai-locksley-1
72,Jordan Love*,Utah State,MWC,13,293,473,61.9,3402,7.2,6.4,20,17,129.1,81,175,2.2,0,jordan-love-2
73,Carter Stanley,Kansas,Big 12,12,226,371,60.9,2664,7.2,7.1,24,11,136.7,67,68,1.0,1,carter-stanley-1
74,James Morgan*,Florida International,CUSA,12,207,357,58.0,2585,7.2,7.4,14,5,128.9,32,-40,-1.3,2,james-morgan-1
75,Bryce Perkins*,Virginia,ACC,14,319,495,64.4,3530,7.1,6.9,22,12,134.2,227,769,3.4,11,bryce-perkins-1
76,Brian Lewerke*,Michigan State,Big Ten,13,260,436,59.6,3079,7.1,6.5,17,13,125.9,111,363,3.3,3,brian-lewerke-1
77,Tommy Devito,Syracuse,ACC,12,213,337,63.2,2360,7.0,7.5,19,5,137.7,112,122,1.1,2,tommy-devito-1
78,Kellen Mond*,Texas A&M,SEC,13,258,419,61.6,2897,6.9,6.9,20,9,131.1,126,501,4.0,8,kellen-mond-1
79,Steven Montez,Colorado,Pac-12,12,255,405,63.0,2808,6.9,6.7,17,10,130.1,65,153,2.4,3,steven-montez-1
80,Dan Ellington*,Georgia State,Sun Belt,13,227,355,63.9,2447,6.9,7.1,22,8,137.8,160,668,4.2,6,dan-ellington-1
81,Brandon Peters*,Illinois,Big Ten,11,152,275,55.3,1884,6.9,6.9,18,8,128.6,74,213,2.9,3,brandon-peters-1
82,Jack Zergiotis,Connecticut,American,10,150,260,57.7,1782,6.9,5.6,9,11,118.2,41,-46,-1.1,0,jack-zergiotis-1
83,Tyler Vitt,Texas State,Sun Belt,9,147,231,63.6,1590,6.9,5.1,11,14,125.0,56,119,2.1,0,tyler-vitt-1
84,Anthony Russo*,Temple,American,13,246,419,58.7,2861,6.8,6.5,21,12,126.9,35,-64,-1.8,2,anthony-russo-3
85,Kenyon Oblad,UNLV,MWC,11,167,308,54.2,2081,6.8,6.6,18,9,124.4,45,-43,-1.0,1,kenyon-oblad-1
86,Bo Nix*,Auburn,SEC,13,217,377,57.6,2542,6.7,6.9,16,6,125.0,97,313,3.2,7,bo-nix-1
87,Desmond Ridder*,Cincinnati,American,13,179,325,55.1,2164,6.7,6.5,18,9,123.7,144,650,4.5,5,desmond-ridder-1
88,Kenny Pickett*,Pitt,ACC,12,289,469,61.6,3098,6.6,6.3,13,9,122.4,95,110,1.2,2,kenny-pickett-1
89,Ryan Agnew*,San Diego State,MWC,12,234,371,63.1,2462,6.6,6.7,14,6,128.0,72,116,1.6,1,ryan-agnew-1
90,Austin Kendall,West Virginia,Big 12,9,187,304,61.5,1989,6.5,5.9,12,10,122.9,45,91,2.0,1,austin-kendall-1
91,Kato Nelson,Akron,MAC,10,151,280,53.9,1820,6.5,6.3,11,6,117.2,109,121,1.1,0,kato-nelson-1
92,Jordan McCloud,South Florida,American,12,124,224,55.4,1429,6.4,5.8,12,8,119.5,105,283,2.7,4,jordan-mccloud-1
93,Carson Strong*,Nevada,MWC,10,237,374,63.4,2335,6.2,6.0,11,7,121.8,54,-6,-0.1,0,carson-strong-1
94,Josh Jackson,Maryland,Big Ten,10,98,207,47.3,1274,6.2,6.0,12,6,112.4,53,-53,-1.0,0,josh-jackson-3
95,Max Duggan,TCU,Big 12,12,181,339,53.4,2077,6.1,5.7,15,10,113.6,130,555,4.3,6,max-duggan-1
96,Riley Neal,Vanderbilt,SEC,11,149,258,57.8,1585,6.1,6.0,9,5,117.0,53,47,0.9,0,riley-neal-1
97,Lowell Narcisse,UTSA,CUSA,11,107,201,53.2,1226,6.1,5.8,8,5,112.6,118,492,4.2,4,lowell-narcisse-1
98,James Graham,Georgia Tech,ACC,11,87,193,45.1,1164,6.0,5.6,12,7,109.0,99,290,2.9,3,james-graham-1
99,Josh Adkins,New Mexico State,Ind,12,275,437,62.9,2588,5.9,5.0,14,15,116.4,106,41,0.4,4,josh-adkins-1
100,Ryan Hilinski,South Carolina,SEC,11,236,406,58.1,2357,5.8,5.8,11,5,113.4,33,-55,-1.7,1,ryan-hilinski-1
101,Quentin Harris,Duke,ACC,12,209,357,58.5,2078,5.8,5.3,16,11,116.1,160,510,3.2,7,quentin-harris-2
102,Grant Loy,Bowling Green State,MAC,12,115,203,56.7,1137,5.6,3.8,6,11,102.6,100,427,4.3,4,grant-loy-1
