,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,-additional
Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD,-9999
1,Marcus Mariota*,Oregon,Pac-12,15,304,445,68.3,4454,10.0,11.5,42,4,181.7,135,770,5.7,15,marcus-mariota-1
2,Garrett Grayson*,Colorado State,MWC,13,270,420,64.3,4006,9.5,10.3,32,7,166.2,57,-46,-0.8,0,garrett-grayson-1
3,Zach Terrell*,Western Michigan,MAC,13,250,368,67.9,3443,9.4,9.5,26,10,164.4,78,264,3.4,3,zach-terrell-1
4,Bryce Petty*,Baylor,Big 12,12,270,428,63.1,3855,9.0,9.6,29,7,157.8,84,101,1.2,6,bryce-petty-1
5,J.T. Barrett*,Ohio State,Big Ten,12,203,314,64.6,2834,9.0,9.8,34,10,169.8,171,938,5.5,11,jt-barrett-1
6,Grant Hedrick*,Boise State,MWC,14,294,415,70.8,3696,8.9,8.5,23,14,157.2,155,592,3.8,8,grant-hedrick-1
7,Blake Sims*,Alabama,SEC,14,252,391,64.5,3487,8.9,9.2,28,10,157.9,83,350,4.2,7,blake-sims-2
8,Brandon Doughty*,Western Kentucky,CUSA,13,375,552,67.9,4830,8.8,9.7,49,10,167.1,39,-52,-1.3,2,brandon-doughty-1
9,Jake Waters*,Kansas State,Big 12,13,262,397,66.0,3501,8.8,9.1,22,7,154.8,154,484,3.1,9,jake-waters-1
10,Connor Cook*,Michigan State,Big Ten,13,212,365,58.1,3214,8.8,9.1,24,8,149.4,51,80,1.6,2,connor-cook-1
11,Rakeem Cato*,Marshall,CUSA,14,267,451,59.2,3903,8.7,9.1,40,13,155.4,94,482,5.1,8,rakeem-cato-1
12,Dak Prescott*,Mississippi State,SEC,13,244,396,61.6,3449,8.7,8.8,27,11,151.7,210,986,4.7,14,dak-prescott-1
13,Gary Nova*,Rutgers,Big Ten,13,187,327,57.2,2851,8.7,8.4,22,12,145.3,45,-5,-0.1,3,gary-nova-1
14,Driphus Jackson*,Rice,CUSA,13,191,331,57.7,2842,8.6,8.9,24,8,148.9,121,401,3.3,1,driphus-jackson-1
15,Nick Marshall*,Auburn,SEC,13,178,293,60.8,2532,8.6,8.9,20,7,151.1,153,798,5.2,11,nick-marshall-2
