,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,-additional
61,Jeremiah Masoli,Ole Miss,SEC,12,167,296,56.4,2039,6.9,5.9,14,13,121.1,121,544,4.5,6,jeremiah-masoli-1
62,Nathan Scheelhaase*,Illinois,Big Ten,13,155,264,58.7,1825,6.9,6.8,17,8,132.0,185,868,4.7,5,nathan-scheelhaase-1
63,B.J. Daniels*,South Florida,Big East,12,143,245,58.4,1685,6.9,5.4,11,13,120.3,112,259,2.3,5,bj-daniels-1
64,Taylor Potts*,Texas Tech,Big 12,13,369,551,67.0,3726,6.8,7.2,35,10,141.1,33,4,0.1,2,taylor-potts-1
65,Russell Wilson*,North Carolina State,ACC,13,308,527,58.4,3563,6.8,6.6,28,14,127.5,143,435,3.0,9,russell-wilson-1
66,Ben Chappell,Indiana,Big Ten,12,302,483,62.5,3295,6.8,7.0,24,9,132.5,47,14,0.3,3,ben-chappell-1
67,Trevor Vittatoe*,UTEP,CUSA,13,220,407,54.1,2756,6.8,6.4,22,13,122.4,55,98,1.8,0,trevor-vittatoe-1
68,Pete Thomas,Colorado State,MWC,12,253,391,64.7,2662,6.8,5.9,11,13,124.5,77,-117,-1.5,0,pete-thomas-1
69,Kolton Browning,Louisiana-Monroe,Sun Belt,12,234,378,61.9,2552,6.8,6.3,18,12,128.0,171,385,2.3,4,kolton-browning-1
70,Ryan Katz,Oregon State,Pac-10,12,213,355,60.0,2401,6.8,6.4,18,11,127.3,78,14,0.2,2,ryan-katz-1
71,Jake Locker*,Washington,Pac-10,12,184,332,55.4,2265,6.8,6.6,17,9,124.2,114,385,3.4,6,jake-locker-1
72,Christian Ponder*,Florida State,ACC,12,184,299,61.5,2044,6.8,7.0,20,8,135.7,100,180,1.8,4,christian-ponder-1
73,Austyn Carta-Samuels,Wyoming,MWC,11,154,252,61.1,1702,6.8,6.0,9,8,123.3,117,392,3.4,3,austyn-carta-samuels-1
74,Jordan Jefferson*,LSU,SEC,13,118,209,56.5,1411,6.8,5.3,7,10,114.7,123,450,3.7,7,jordan-jefferson-1
75,Blaine Gabbert*,Missouri,Big 12,13,301,475,63.4,3186,6.7,6.5,16,9,127.0,112,232,2.1,5,blaine-gabbert-1
76,Sean Renfree,Duke,ACC,12,285,464,61.4,3131,6.7,5.7,14,17,120.7,51,-47,-0.9,4,sean-renfree-1
77,Diondre Borel,Utah State,WAC,12,167,314,53.2,2108,6.7,5.4,8,13,109.7,142,298,2.1,7,diondre-borel-1
78,Cody Hawkins,Colorado,Big 12,12,124,231,53.7,1547,6.7,6.9,14,5,125.6,9,-32,-3.6,0,cody-hawkins-1
79,Chris Masson,Louisiana,Sun Belt,9,148,280,52.9,1842,6.6,6.4,11,6,116.8,47,24,0.5,1,chris-masson-1
80,Jacory Harris*,Miami (FL),ACC,10,148,270,54.8,1793,6.6,5.2,14,15,116.6,29,27,0.9,2,jacory-harris-1
81,Dominique Davis*,East Carolina,CUSA,13,393,609,64.5,3967,6.5,6.5,37,16,134.0,79,141,1.8,9,dominique-davis-1
82,Ryan Nassib*,Syracuse,Big East,13,202,358,56.4,2334,6.5,6.6,19,8,124.2,66,-39,-0.6,1,ryan-nassib-1
83,Kyle Parker*,Clemson,ACC,13,196,341,57.5,2213,6.5,5.7,12,11,117.2,47,28,0.6,0,kyle-parker-1
84,Ryan Griffin,Tulane,CUSA,11,223,372,59.9,2371,6.4,6.2,14,8,121.6,39,-146,-3.7,0,ryan-griffin-2
85,Omar Clayton,UNLV,MWC,13,158,283,55.8,1818,6.4,5.9,13,9,118.6,97,194,2.0,1,omar-clayton-1
86,Ross Jenkins,Louisiana Tech,WAC,11,172,274,62.8,1760,6.4,6.3,12,6,126.8,55,108,2.0,4,ross-jenkins-1
87,John Brantley*,Florida,SEC,13,200,329,60.8,2061,6.3,5.4,9,10,116.4,52,-111,-2.1,0,john-brantley-1
88,Garrett Gilbert,Texas,Big 12,12,260,441,59.0,2744,6.2,4.9,10,17,111.0,100,380,3.8,5,garrett-gilbert-1
89,Brian Anderson,Marshall,CUSA,12,218,384,56.8,2358,6.1,5.4,20,15,117.7,47,90,1.9,0,brian-anderson-1
90,Spencer Keith,Kent State,MAC,12,215,364,59.1,2212,6.1,5.2,8,11,111.3,59,18,0.3,3,spencer-keith-1
91,Richard Brehaut,UCLA,Pac-10,9,119,212,56.1,1296,6.1,5.2,6,7,110.2,57,61,1.1,4,richard-brehaut-1
92,Jake Heaps*,Brigham Young,MWC,13,219,383,57.2,2316,6.0,5.8,15,9,116.2,34,-100,-2.9,1,jake-heaps-1
93,Matt Schilz,Bowling Green State,MAC,10,229,377,60.7,2223,5.9,4.6,8,14,109.8,50,-143,-2.9,3,matt-schilz-1
94,Jerry Davis,Buffalo,MAC,10,142,298,47.7,1753,5.9,4.5,16,16,104.0,96,236,2.5,0,jerry-davis-1
95,Austen Arnaud,Iowa State,Big 12,11,171,290,59.0,1703,5.9,5.2,13,10,116.2,103,287,2.8,2,austen-arnaud-1
96,Kawaun Jakes,Western Kentucky,Sun Belt,12,149,291,51.2,1680,5.8,5.5,10,6,106.9,96,200,2.1,4,kawaun-jakes-1
97,Keith Wenning,Ball State,MAC,12,128,235,54.5,1373,5.8,4.4,14,14,111.3,32,-3,-0.1,2,keith-wenning-1
98,Tanner Price,Wake Forest,ACC,11,137,241,56.8,1349,5.6,4.7,7,8,106.8,75,120,1.6,4,tanner-price-1
99,Jordan Webb,Kansas,Big 12,9,121,214,56.5,1195,5.6,4.6,7,8,106.8,59,84,1.4,0,jordan-webb-1
100,Zach Frazer*,Connecticut,Big East,11,136,261,52.1,1425,5.5,4.8,5,6,99.7,29,14,0.5,0,zach-frazer-1
101,Patrick Nicely,Akron,MAC,12,166,336,49.4,1753,5.2,4.1,10,13,95.3,61,-125,-2.0,1,patrick-nicely-1
102,Larry Smith,Vanderbilt,SEC,11,117,247,47.4,1262,5.1,4.7,6,5,94.3,105,248,2.4,4,larry-smith-1
