,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,-additional
Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD,-9999
1,Cam Newton*,Auburn,SEC,14,185,280,66.1,2854,10.2,11.2,30,7,182.0,264,1473,5.6,20,cam-newton-1
2,Kellen Moore*,Boise State,WAC,13,273,383,71.3,3845,10.0,11.2,35,6,182.6,19,-32,-1.7,1,kellen-moore-1
3,Greg McElroy*,Alabama,SEC,13,222,313,70.9,2987,9.5,10.1,20,5,169.0,60,-12,-0.2,1,greg-mcelroy-1
4,Ryan Mallett*,Arkansas,SEC,13,266,411,64.7,3869,9.4,9.7,32,12,163.6,44,-74,-1.7,4,ryan-mallett-1
5,Scott Tolzien*,Wisconsin,Big Ten,13,194,266,72.9,2459,9.2,9.4,16,6,165.9,30,-30,-1.0,0,scott-tolzien-1
6,Bryant Moniz*,Hawaii,WAC,14,361,555,65.0,5040,9.1,9.3,39,15,159.1,81,102,1.3,4,bryant-moniz-1
7,Ryan Lindley*,San Diego State,MWC,13,243,421,57.7,3830,9.1,8.9,28,14,149.4,19,-31,-1.6,0,ryan-lindley-1
8,Jeff Godfrey*,UCF,CUSA,14,159,238,66.8,2159,9.1,8.7,13,8,154.3,152,566,3.7,10,jeff-godfrey-1
9,Andrew Luck*,Stanford,Pac-10,13,263,372,70.7,3338,9.0,9.7,32,8,170.2,55,453,8.2,3,andrew-luck-1
10,Andy Dalton*,TCU,MWC,13,209,316,66.1,2857,9.0,9.9,27,6,166.5,86,435,5.1,6,andy-dalton-1
11,Aaron Murray*,Georgia,SEC,13,209,342,61.1,3049,8.9,9.3,24,8,154.5,87,167,1.9,4,aaron-murray-1
12,Stephen Garcia*,South Carolina,SEC,14,224,349,64.2,3059,8.8,8.1,20,14,148.7,105,222,2.1,6,stephen-garcia-1
13,Denard Robinson*,Michigan,Big Ten,13,182,291,62.5,2570,8.8,8.4,18,11,149.6,256,1702,6.6,14,denard-robinson-1
14,Ricky Stanzi*,Iowa,Big Ten,13,221,345,64.1,3004,8.7,9.4,25,6,157.6,48,-6,-0.1,2,ricky-stanzi-1
15,Tyrod Taylor*,Virginia Tech,ACC,14,188,315,59.7,2743,8.7,9.5,24,5,154.8,146,659,4.5,5,tyrod-taylor-1
16,Chandler Harnish*,Northern Illinois,MAC,13,189,292,64.7,2530,8.7,9.3,21,5,157.8,137,836,6.1,7,chandler-harnish-1
17,Terrelle Pryor*,Ohio State,Big Ten,13,210,323,65.0,2772,8.6,8.7,27,11,157.9,135,754,5.6,4,terrelle-pryor-1
18,Dan Persa*,Northwestern,Big Ten,10,222,302,73.5,2581,8.5,8.9,15,4,159.0,164,519,3.2,9,dan-persa-1
19,Brandon Weeden*,Oklahoma State,Big 12,13,342,511,66.9,4277,8.4,8.6,34,13,154.1,17,-68,-4.0,0,brandon-weeden-1
20,Colin Kaepernick*,Nevada,WAC,14,233,359,64.9,3022,8.4,8.6,21,8,150.5,173,1206,7.0,20,colin-kaepernick-1
21,Kirk Cousins*,Michigan State,Big Ten,13,226,338,66.9,2825,8.4,8.2,20,10,150.7,40,-136,-3.4,1,kirk-cousins-1
22,T.J. Yates*,North Carolina,ACC,13,282,422,66.8,3418,8.1,8.0,19,9,145.5,79,-77,-1.0,3,tj-yates-1
23,Chris Relf*,Mississippi State,SEC,13,129,220,58.6,1789,8.1,8.1,13,6,141.0,194,713,3.7,5,chris-relf-1
24,Darron Thomas*,Oregon,Pac-10,13,222,361,61.5,2881,8.0,8.5,30,9,151.0,93,486,5.2,5,darron-thomas-1
25,G.J. Kinne*,Tulsa,CUSA,13,275,460,59.8,3650,7.9,8.3,31,10,144.3,158,561,3.6,7,gj-kinne-1
26,Mike Hartline*,Kentucky,SEC,12,268,405,66.2,3178,7.8,8.0,23,9,146.4,32,-35,-1.1,1,mike-hartline-1
27,Ryan Colburn*,Fresno State,WAC,13,227,360,63.1,2817,7.8,8.0,23,9,144.9,95,75,0.8,3,ryan-colburn-1
28,Jordan Wynn*,Utah,MWC,10,186,299,62.2,2334,7.8,7.4,17,10,139.9,18,-11,-0.6,0,jordan-wynn-1
29,Carson Coffman*,Kansas State,Big 12,12,171,263,65.0,2060,7.8,7.7,14,7,143.1,110,157,1.4,9,carson-coffman-1
30,Robert Griffin III*,Baylor,Big 12,13,304,454,67.0,3501,7.7,7.9,22,8,144.2,149,635,4.3,8,robert-griffin-iii-1
31,Boo Jackson*,Ohio,MAC,13,149,245,60.8,1897,7.7,6.1,18,17,136.2,132,345,2.6,7,boo-jackson-1
32,Landry Jones*,Oklahoma,Big 12,14,405,617,65.6,4718,7.6,8.0,38,12,146.3,51,-128,-2.5,1,landry-jones-1
33,Zach Collaros,Cincinnati,Big East,11,225,383,58.7,2902,7.6,7.3,26,14,137.5,121,202,1.7,4,zach-collaros-1
34,Jeff Tuel,Washington State,Pac-10,12,219,366,59.8,2780,7.6,7.1,18,12,133.3,134,204,1.5,1,jeff-tuel-1
35,Kyle Padron*,SMU,CUSA,14,302,508,59.4,3828,7.5,7.5,31,14,137.4,104,244,2.3,4,kyle-padron-1
36,Nick Foles*,Arizona,Pac-10,11,286,426,67.1,3191,7.5,7.4,20,10,140.9,35,-113,-3.2,1,nick-foles-1
37,Steven Threet,Arizona State,Pac-10,11,208,336,61.9,2534,7.5,6.5,18,16,133.4,59,19,0.3,2,steven-threet-1
38,Matt Simms*,Tennessee,SEC,11,113,195,57.9,1460,7.5,7.2,8,5,129.3,45,-108,-2.4,1,matt-simms-1
39,Corey Robinson*,Troy,Sun Belt,13,321,505,63.6,3726,7.4,7.2,28,15,137.9,48,-100,-2.1,0,corey-robinson-1
40,Matt Barkley,USC,Pac-10,12,236,377,62.6,2791,7.4,7.4,26,12,141.2,34,-17,-0.5,2,matt-barkley-1
41,Geno Smith*,West Virginia,Big East,13,241,372,64.8,2763,7.4,7.9,24,7,144.7,106,217,2.0,0,geno-smith-1
42,Tino Sunseri*,Pitt,Big East,13,223,346,64.5,2572,7.4,7.2,16,9,137.0,53,108,2.0,2,tino-sunseri-1
43,Alex Carder,Western Michigan,MAC,12,289,458,63.1,3334,7.3,7.4,30,12,140.6,109,226,2.1,6,alex-carder-1
44,Jordan La Secla,San Jose State,WAC,13,231,391,59.1,2860,7.3,6.3,16,16,125.8,69,-9,-0.1,1,jordan-la-secla-1
45,Adam Weber,Minnesota,Big Ten,12,205,368,55.7,2679,7.3,7.3,20,9,129.9,52,156,3.0,0,adam-weber-1
46,Jeff Van Camp,Florida Atlantic,Sun Belt,12,192,335,57.3,2459,7.3,6.6,17,13,128.0,55,-189,-3.4,0,jeff-van-camp-1
47,Chas Dodd,Rutgers,Big East,11,123,223,55.2,1637,7.3,6.9,11,7,126.8,62,-253,-4.1,0,chas-dodd-1
48,Ryan Radcliff,Central Michigan,MAC,12,282,466,60.5,3358,7.2,6.3,17,17,125.8,66,-99,-1.5,1,ryan-radcliff-1
49,Bryan Ellis,UAB,CUSA,11,231,411,56.2,2940,7.2,7.1,25,12,130.5,25,29,1.2,2,bryan-ellis-1
50,Ryan Aplin,Arkansas State,Sun Belt,12,252,410,61.5,2939,7.2,7.0,21,11,133.2,138,477,3.5,11,ryan-aplin-1
51,Danny O'Brien*,Maryland,ACC,13,192,337,57.0,2438,7.2,7.5,22,8,134.5,31,-48,-1.5,1,danny-obrien-1
52,Ryan Williams,Memphis,CUSA,12,165,290,56.9,2075,7.2,6.5,13,10,124.9,48,-174,-3.6,0,ryan-williams-7
53,Marc Verica,Virginia,ACC,12,233,396,58.8,2799,7.1,6.2,14,14,122.8,42,-47,-1.1,0,marc-verica-1
54,Wesley Carroll*,Florida International,Sun Belt,13,226,367,61.6,2623,7.1,6.3,16,14,128.4,57,-8,-0.1,1,wesley-carroll-1
55,Alex Gillett,Eastern Michigan,MAC,12,127,229,55.5,1633,7.1,5.7,13,13,122.7,179,766,4.3,5,alex-gillett-1
56,Austin Davis*,Southern Mississippi,CUSA,13,278,442,62.9,3103,7.0,7.3,20,6,134.1,145,452,3.1,10,austin-davis-1
57,Zac Dysert*,Miami (OH),MAC,11,222,343,64.7,2406,7.0,6.2,13,12,129.2,79,27,0.3,1,zac-dysert-1
58,Nick Fanuzzi,Rice,CUSA,10,151,241,62.7,1681,7.0,6.2,11,9,128.8,65,13,0.2,0,nick-fanuzzi-1
59,Ryan Tannehill*,Texas A&M,Big 12,13,152,234,65.0,1638,7.0,7.0,13,6,137.0,51,76,1.5,1,ryan-tannehill-1
60,Nathan Enderle,Idaho,WAC,13,271,478,56.7,3314,6.9,6.3,22,16,123.4,59,-197,-3.3,1,nathan-enderle-1
