,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,-additional
Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD,-9999
1,Jameis Winston*,Florida State,ACC,14,257,384,66.9,4057,10.6,11.5,40,10,184.8,88,219,2.5,4,jameis-winston-1
2,Bryce Petty*,Baylor,Big 12,13,250,403,62.0,4200,10.4,11.7,32,3,174.3,94,209,2.2,14,bryce-petty-1
3,Zach Mettenberger*,LSU,SEC,12,192,296,64.9,3082,10.4,10.7,22,8,171.4,34,-133,-3.9,0,zach-mettenberger-1
4,Johnny Manziel*,Texas A&M,SEC,13,300,429,69.9,4114,9.6,10.0,37,13,172.9,144,759,5.3,9,johnny-manziel-1
5,Marcus Mariota*,Oregon,Pac-12,13,245,386,63.5,3665,9.5,10.6,31,4,167.7,96,715,7.4,9,marcus-mariota-1
6,Jake Waters*,Kansas State,Big 12,13,159,260,61.2,2469,9.5,9.3,18,9,156.8,118,312,2.6,6,jake-waters-1
7,Blake Bortles*,UCF,American,13,259,382,67.8,3581,9.4,9.6,25,9,163.4,87,272,3.1,6,blake-bortles-1
8,Matt Johnson*,Bowling Green State,MAC,14,237,369,64.2,3467,9.4,9.9,25,7,161.7,117,238,2.0,5,matt-johnson-3
9,Teddy Bridgewater*,Louisville,American,13,303,427,71.0,3970,9.3,10.3,31,4,171.1,63,78,1.2,1,teddy-bridgewater-1
10,Tajh Boyd*,Clemson,ACC,13,283,413,68.5,3851,9.3,9.8,34,11,168.7,154,400,2.6,10,tajh-boyd-1
11,A.J. McCarron*,Alabama,SEC,13,226,336,67.3,3063,9.1,9.8,28,7,167.2,34,-22,-0.6,0,aj-mccarron-1
12,Terrance Broadway*,Louisiana,Sun Belt,12,166,266,62.4,2419,9.1,8.5,19,12,153.3,131,442,3.4,8,terrance-broadway-1
13,Aaron Murray*,Georgia,SEC,11,225,347,64.8,3075,8.9,9.2,26,9,158.8,53,186,3.5,7,aaron-murray-1
14,Kevin Hogan*,Stanford,Pac-12,14,180,295,61.0,2630,8.9,8.7,20,10,151.5,84,355,4.2,2,kevin-hogan-2
15,Stephen Morris*,Miami (FL),ACC,13,198,344,57.6,3028,8.8,8.5,21,12,144.7,28,-88,-3.1,0,stephen-morris-1
16,David Fales,San Jose State,MWC,12,312,487,64.1,4189,8.6,8.8,33,13,153.3,48,7,0.1,2,david-fales-1
17,Devin Gardner*,Michigan,Big Ten,12,208,345,60.3,2960,8.6,8.4,21,11,146.1,165,483,2.9,11,devin-gardner-1
18,Connor Shaw*,South Carolina,SEC,13,180,284,63.4,2447,8.6,10.1,24,1,162.9,154,558,3.6,6,connor-shaw-1
19,Brendon Kay*,Cincinnati,American,13,262,395,66.3,3302,8.4,8.1,22,12,148.9,72,137,1.9,6,brendon-kay-1
20,Keith Price*,Washington,Pac-12,12,233,352,66.2,2966,8.4,8.9,21,6,153.3,82,108,1.3,5,keith-price-1
21,Keith Wenning*,Ball State,MAC,13,319,498,64.1,4148,8.3,9.1,35,7,154.4,45,44,1.0,5,keith-wenning-1
22,Brett Hundley*,UCLA,Pac-12,13,248,371,66.8,3071,8.3,8.5,24,9,152.9,160,748,4.7,11,brett-hundley-1
23,P.J. Walker,Temple,American,9,152,250,60.8,2084,8.3,8.5,20,8,150.8,90,332,3.7,3,pj-walker-1
24,Nick Marshall*,Auburn,SEC,13,142,239,59.4,1976,8.3,8.3,14,6,143.2,172,1068,6.2,12,nick-marshall-2
25,Cody Kessler*,USC,Pac-12,14,236,361,65.4,2968,8.2,8.5,20,7,148.8,42,-124,-3.0,1,cody-kessler-1
26,Braxton Miller*,Ohio State,Big Ten,12,162,255,63.5,2094,8.2,8.9,24,7,158.1,171,1068,6.2,12,braxton-miller-1
27,Ross Metheny,South Alabama,Sun Belt,12,201,324,62.0,2622,8.1,8.0,15,7,141.0,132,604,4.6,10,ross-metheny-1
28,Austyn Carta-Samuels*,Vanderbilt,SEC,10,193,281,68.7,2268,8.1,7.4,11,9,143.0,75,115,1.5,5,austyn-carta-samuels-1
29,C.J. Brown*,Maryland,ACC,11,166,282,58.9,2242,8.0,7.8,13,7,135.9,140,576,4.1,12,cj-brown-1
30,Tommy Rees*,Notre Dame,Ind,13,224,414,54.1,3257,7.9,7.8,27,13,135.4,11,-56,-5.1,0,tommy-rees-1
31,Sean Schroeder,Hawaii,MWC,11,233,376,62.0,2960,7.9,7.7,28,14,145.2,53,-51,-1.0,2,sean-schroeder-1
32,Rakeem Cato*,Marshall,CUSA,14,298,499,59.7,3916,7.8,8.6,39,9,147.8,99,294,3.0,6,rakeem-cato-1
33,Nate Sudfeld,Indiana,Big Ten,12,194,322,60.2,2523,7.8,7.9,21,9,142.0,38,-34,-0.9,1,nate-sudfeld-1
34,Marquise Williams*,North Carolina,ACC,11,126,217,58.1,1698,7.8,8.0,15,6,141.1,111,536,4.8,6,marquise-williams-1
35,Derek Carr*,Fresno State,MWC,13,454,659,68.9,5083,7.7,8.7,50,8,156.3,40,117,2.9,2,derek-carr-1
36,Sean Mannion*,Oregon State,Pac-12,13,400,603,66.3,4662,7.7,7.8,37,15,146.6,34,-223,-6.6,0,sean-mannion-1
37,Garrett Grayson*,Colorado State,MWC,14,297,478,62.1,3696,7.7,7.7,23,11,138.4,69,119,1.7,2,garrett-grayson-1
38,Bo Wallace*,Ole Miss,SEC,13,283,437,64.8,3346,7.7,7.5,18,10,138.1,131,355,2.7,6,bo-wallace-1
39,Quinn Kaehler*,San Diego State,MWC,12,232,389,59.6,3007,7.7,7.7,19,9,136.1,49,-109,-2.2,1,quinn-kaehler-1
40,Tyler Tettleton*,Ohio,MAC,13,230,371,62.0,2851,7.7,7.4,21,12,138.8,43,24,0.6,0,tyler-tettleton-1
41,Travis Wilson,Utah,Pac-12,9,133,237,56.1,1827,7.7,6.0,16,16,129.6,81,386,4.8,5,travis-wilson-4
42,Nathan Scheelhaase,Illinois,Big Ten,12,287,430,66.7,3272,7.6,7.2,21,13,140.7,113,271,2.4,4,nathan-scheelhaase-1
43,Corey Robinson,Troy,Sun Belt,12,285,421,67.7,3219,7.6,7.6,20,9,143.3,35,-111,-3.2,1,corey-robinson-1
44,Tom Savage*,Pitt,ACC,13,238,389,61.2,2958,7.6,7.6,21,9,138.2,76,-208,-2.7,3,tom-savage-1
45,Brandon Doughty,Western Kentucky,Sun Belt,12,246,374,65.8,2857,7.6,6.7,14,14,134.8,34,-109,-3.2,0,brandon-doughty-1
46,Chase Rettig*,Boston College,ACC,13,162,263,61.6,1995,7.6,7.5,17,8,140.6,60,71,1.2,1,chase-rettig-1
47,Shane Carden*,East Carolina,CUSA,13,387,549,70.5,4139,7.5,7.9,33,10,150.0,90,103,1.1,10,shane-carden-1
48,Taylor Kelly*,Arizona State,Pac-12,14,302,484,62.4,3635,7.5,7.6,28,12,139.6,173,608,3.5,9,taylor-kelly-1
49,Christian Hackenberg,Penn State,Big Ten,12,231,392,58.9,2955,7.5,7.4,20,10,134.0,49,-68,-1.4,4,christian-hackenberg-1
50,Davis Webb*,Texas Tech,Big 12,10,226,361,62.6,2718,7.5,7.5,20,9,139.1,25,-12,-0.5,0,davis-webb-1
51,Cody Fajardo,Nevada,MWC,10,243,358,67.9,2668,7.5,7.8,13,3,140.8,141,621,4.4,8,cody-fajardo-1
