,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,-additional
52,Adam Kennedy*,Arkansas State,Sun Belt,13,218,315,69.2,2363,7.5,7.3,11,6,139.9,153,524,3.4,4,adam-kennedy-2
53,Cooper Rush,Central Michigan,MAC,11,177,312,56.7,2349,7.5,6.3,15,15,126.2,38,-84,-2.2,1,cooper-rush-1
54,Clint Chelf*,Oklahoma State,Big 12,12,164,291,56.4,2169,7.5,7.4,17,8,132.7,63,369,5.9,7,clint-chelf-1
55,Grant Hedrick*,Boise State,MWC,13,167,242,69.0,1825,7.5,7.9,16,5,150.0,68,277,4.1,6,grant-hedrick-1
56,Derek Thompson*,North Texas,CUSA,13,251,390,64.4,2896,7.4,6.7,16,13,133.6,64,157,2.5,3,derek-thompson-1
57,Joel Stave*,Wisconsin,Big Ten,13,208,336,61.9,2494,7.4,7.0,22,13,138.1,37,-22,-0.6,1,joel-stave-1
58,Connor Cook*,Michigan State,Big Ten,14,223,380,58.7,2755,7.3,7.7,22,6,135.5,69,76,1.1,1,connor-cook-1
59,Dak Prescott*,Mississippi State,SEC,11,156,267,58.4,1940,7.3,6.8,10,7,126.6,134,829,6.2,13,dak-prescott-1
60,Jaquez Johnson,Florida Atlantic,CUSA,11,149,256,58.2,1876,7.3,6.9,12,8,129.0,172,772,4.5,10,jaquez-johnson-1
61,Brett Smith,Wyoming,MWC,12,293,467,62.7,3375,7.2,7.4,29,11,139.2,125,573,4.6,4,brett-smith-1
62,Logan Thomas*,Virginia Tech,ACC,13,227,402,56.5,2907,7.2,6.5,15,13,123.1,162,344,2.1,4,logan-thomas-1
63,Jordan Lynch*,Northern Illinois,MAC,14,253,404,62.6,2892,7.2,7.5,24,8,138.4,292,1920,6.6,23,jordan-lynch-1
64,Eric Soza,UTSA,CUSA,12,236,377,62.6,2719,7.2,6.5,12,11,127.9,97,369,3.8,7,eric-soza-1
65,Taylor McHargue*,Rice,CUSA,14,169,324,52.2,2345,7.2,7.2,17,8,125.3,157,464,3.0,5,taylor-mchargue-1
66,Trevor Siemian,Northwestern,Big Ten,12,178,298,59.7,2149,7.2,6.6,11,9,126.4,48,33,0.7,0,trevor-siemian-1
67,Logan Kilgore*,Middle Tennessee State,CUSA,13,216,355,60.8,2507,7.1,6.3,16,13,127.7,35,20,0.6,2,logan-kilgore-1
68,Andrew McDonald,New Mexico State,Ind,12,233,350,66.6,2497,7.1,6.6,15,11,134.4,104,256,2.5,4,andrew-mcdonald-2
69,Gary Nova*,Rutgers,American,10,165,303,54.5,2159,7.1,6.2,18,14,124.7,50,-93,-1.9,1,gary-nova-1
70,Blake Bell*,Oklahoma,Big 12,11,140,233,60.1,1648,7.1,7.1,12,5,132.2,75,255,3.4,0,blake-bell-1
71,Garrett Gilbert,SMU,American,10,335,504,66.5,3528,7.0,7.2,21,7,136.2,83,267,3.2,6,garrett-gilbert-1
72,John O'Korn*,Houston,American,13,259,446,58.1,3117,7.0,7.2,28,10,133.0,77,104,1.4,1,john-okorn-1
73,Joe Licata*,Buffalo,MAC,13,233,402,58.0,2824,7.0,7.3,24,8,132.7,34,-64,-1.9,1,joe-licata-1
74,Anthony Boone*,Duke,ACC,11,206,322,64.0,2260,7.0,6.0,13,13,128.2,66,214,3.2,5,anthony-boone-1
75,Terrance Owens,Toledo,MAC,12,191,318,60.1,2230,7.0,6.9,18,9,132.0,48,164,3.4,2,terrance-owens-1
76,Philip Nelson,Minnesota,Big Ten,11,94,186,50.5,1306,7.0,6.5,9,6,119.0,93,364,3.9,6,philip-nelson-1
77,Maxwell Smith,Kentucky,SEC,9,105,183,57.4,1276,7.0,7.7,9,1,131.1,30,-92,-3.1,0,maxwell-smith-1
78,Ronnie Bell,Georgia State,Sun Belt,12,188,375,50.1,2573,6.9,6.3,15,11,115.1,80,113,1.4,3,ronnie-bell-1
79,Jake Rudock*,Iowa,Big Ten,13,204,346,59.0,2383,6.9,6.2,18,13,126.5,67,218,3.3,5,jake-rudock-1
80,Tyler Benz,Eastern Michigan,MAC,11,129,217,59.4,1497,6.9,6.0,10,9,124.3,44,4,0.1,0,tyler-benz-1
81,Taysom Hill*,Brigham Young,Ind,13,236,438,53.9,2938,6.7,6.1,19,14,118.1,246,1344,5.5,10,taysom-hill-1
82,Caleb Herring*,UNLV,MWC,13,256,405,63.2,2718,6.7,7.3,24,5,136.7,127,346,2.7,5,caleb-herring-1
83,Pete Thomas,North Carolina State,ACC,9,149,247,60.3,1667,6.7,5.4,4,9,115.1,72,163,2.3,2,pete-thomas-1
84,Jared Goff,California,Pac-12,12,320,530,60.4,3508,6.6,6.4,18,10,123.4,59,-62,-1.1,1,jared-goff-1
85,B.J. Denker*,Arizona,Pac-12,13,233,381,61.2,2516,6.6,6.6,16,7,126.8,181,949,5.2,13,bj-denker-1
86,Connor Halliday*,Washington State,Pac-12,13,449,714,62.9,4597,6.4,6.0,34,22,126.5,50,-177,-3.5,0,connor-halliday-1
87,Nick Mullens,Southern Mississippi,CUSA,9,136,276,49.3,1776,6.4,5.1,13,14,108.7,40,-103,-2.6,2,nick-mullens-1
88,Zach Terrell,Western Michigan,MAC,9,133,251,53.0,1602,6.4,5.6,8,8,110.7,42,0,0.0,0,zach-terrell-1
89,Sam B. Richardson,Iowa State,Big 12,11,121,220,55.0,1397,6.4,5.9,11,7,118.5,101,356,3.5,2,sam-b-richardson-1
90,Kolton Browning,Louisiana-Monroe,Sun Belt,10,200,352,56.8,2179,6.2,6.4,21,8,124.0,98,229,2.3,2,kolton-browning-1
91,Colin Reardon,Kent State,MAC,11,186,316,58.9,1957,6.2,5.7,12,9,117.7,88,336,3.8,2,colin-reardon-1
92,Kyle Pohl,Akron,MAC,12,225,402,56.0,2438,6.1,5.6,14,10,113.4,72,96,1.3,3,kyle-pohl-1
93,Ryan Higgins,Louisiana Tech,CUSA,9,166,281,59.1,1715,6.1,4.4,6,13,108.1,62,19,0.3,3,ryan-higgins-1
94,Terrel Hunt*,Syracuse,ACC,12,167,273,61.2,1632,6.0,5.4,10,8,117.6,107,500,4.7,7,terrel-hunt-1
95,Brandon Allen,Arkansas,SEC,11,128,258,49.6,1552,6.0,5.3,13,10,109.0,29,29,1.0,1,brandon-allen-2
96,Tanner Price,Wake Forest,ACC,12,206,378,54.5,2233,5.9,5.4,13,10,110.2,123,240,2.0,5,tanner-price-1
97,Paxton Lynch,Memphis,American,12,203,349,58.2,2056,5.9,5.1,9,10,110.4,88,127,1.4,2,paxton-lynch-1
98,Case McCoy*,Texas,Big 12,13,187,329,56.8,1933,5.9,4.8,11,13,109.3,27,-1,0.0,3,case-mccoy-1
99,Nick Montana*,Tulane,CUSA,11,158,296,53.4,1717,5.8,5.2,14,10,111.0,45,4,0.1,0,nick-montana-1
100,Jake Heaps,Kansas,Big 12,11,128,261,49.0,1414,5.4,4.3,8,10,97.0,40,-162,-4.1,1,jake-heaps-1
101,A.J. Doyle,Massachusetts,MAC,11,128,235,54.5,1274,5.4,3.8,6,11,99.1,65,151,2.3,0,aj-doyle-1
102,David Watford,Virginia,ACC,12,244,427,57.1,2202,5.2,4.0,8,15,99.6,104,208,2.0,3,david-watford-1
