,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,-additional
Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD,-9999
1,Vernon Adams*,Oregon,Pac-12,10,168,259,64.9,2643,10.2,11.2,26,6,179.1,83,147,1.8,2,vernon-adams-1
2,Brandon Doughty*,Western Kentucky,CUSA,14,388,540,71.9,5055,9.4,10.4,48,9,176.5,27,-122,-4.5,1,brandon-doughty-1
3,Baker Mayfield*,Oklahoma,Big 12,13,269,395,68.1,3700,9.4,10.4,36,7,173.3,141,405,2.9,7,baker-mayfield-1
4,Kevin Hogan*,Stanford,Pac-12,14,206,304,67.8,2867,9.4,10.0,27,8,171.0,85,336,4.0,6,kevin-hogan-2
5,Brandon Allen*,Arkansas,SEC,13,244,370,65.9,3440,9.3,9.9,30,8,166.5,55,110,2.0,1,brandon-allen-2
6,Nick Arbuckle*,Georgia State,Sun Belt,13,307,486,63.2,4368,9.0,9.0,28,12,152.7,61,-95,-1.6,6,nick-arbuckle-1
7,Jeff Driskel*,Louisiana Tech,CUSA,13,279,448,62.3,4026,9.0,9.4,27,8,154.1,92,323,3.5,5,jeff-driskel-1
8,Trevone Boykin*,TCU,Big 12,11,256,395,64.8,3574,9.0,9.5,31,10,161.6,123,612,5.0,9,trevone-boykin-1
9,Zach Terrell*,Western Michigan,MAC,13,262,391,67.0,3522,9.0,9.5,29,9,162.5,77,107,1.4,3,zach-terrell-1
10,Jared Goff*,California,Pac-12,13,341,529,64.5,4714,8.9,9.4,43,13,161.2,56,-8,-0.1,0,jared-goff-1
11,Dane Evans*,Tulsa,American,13,305,485,62.9,4332,8.9,9.2,25,8,151.6,96,-9,-0.1,2,dane-evans-1
12,Mason Rudolph*,Oklahoma State,Big 12,13,264,424,62.3,3770,8.9,8.9,21,9,149.1,67,-35,-0.5,1,mason-rudolph-1
13,Chad Kelly*,Ole Miss,SEC,13,298,458,65.1,4042,8.8,8.9,31,13,155.9,106,509,4.8,10,chad-kelly-1
14,Gunner Kiel*,Cincinnati,American,10,206,316,65.2,2777,8.8,8.4,19,11,151.9,32,27,0.8,2,gunner-kiel-1
