,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,-additional
15,Matt Johnson*,Bowling Green State,MAC,14,383,569,67.3,4946,8.7,9.7,46,8,164.2,113,159,1.4,4,matt-johnson-3
16,Nate Sudfeld*,Indiana,Big Ten,12,247,412,60.0,3573,8.7,9.2,27,7,151.0,46,61,1.3,5,nate-sudfeld-1
17,Nick Mullens*,Southern Mississippi,CUSA,14,331,521,63.5,4476,8.6,9.0,38,12,155.2,43,-92,-2.1,3,nick-mullens-1
18,Marquise Williams*,North Carolina,ACC,14,218,356,61.2,3072,8.6,8.7,24,10,150.4,158,948,6.0,13,marquise-williams-1
19,DeShone Kizer*,Notre Dame,Ind,13,210,334,62.9,2880,8.6,8.5,21,10,150.1,135,525,3.9,10,deshone-kizer-1
20,Paxton Lynch*,Memphis,American,13,296,443,66.8,3776,8.5,9.4,28,4,157.5,87,239,2.7,2,paxton-lynch-1
21,Deshaun Watson*,Clemson,ACC,15,333,491,67.8,4109,8.4,8.6,35,13,156.3,207,1105,5.3,12,deshaun-watson-1
22,Taylor Lamb*,Appalachian State,Sun Belt,13,167,280,59.6,2364,8.4,9.2,31,9,160.7,85,436,5.1,5,taylor-lamb-1
23,Brad Kaaya*,Miami (FL),ACC,12,238,389,61.2,3238,8.3,8.6,16,5,142.1,30,-119,-4.0,2,brad-kaaya-1
24,Quinton Flowers*,South Florida,American,13,162,275,58.9,2290,8.3,8.6,22,8,149.4,191,991,5.2,12,quinton-flowers-1
25,Brent Stockstill*,Middle Tennessee State,CUSA,13,326,489,66.7,3993,8.2,8.6,30,9,151.8,60,37,0.6,2,brent-stockstill-1
26,Greg Ward Jr.*,Houston,American,14,231,345,67.0,2827,8.2,8.4,17,6,148.6,197,1114,5.7,21,greg-ward-jr-1
27,Blake Decker,UNLV,MWC,9,120,209,57.4,1713,8.2,7.6,12,8,137.6,47,127,2.7,1,blake-decker-1
28,Patrick Mahomes*,Texas Tech,Big 12,13,364,573,63.5,4653,8.1,8.2,36,15,147.2,131,456,3.5,10,patrick-mahomes-1
29,Anu Solomon*,Arizona,Pac-12,11,205,329,62.3,2655,8.1,8.6,20,5,147.1,67,198,3.0,3,anu-solomon-1
30,Dak Prescott*,Mississippi State,SEC,13,316,477,66.2,3793,8.0,8.7,29,5,151.0,160,588,3.7,10,dak-prescott-1
31,Jake Browning*,Washington,Pac-12,12,233,369,63.1,2955,8.0,7.7,16,10,139.3,65,35,0.5,1,jake-browning-1
32,Cameron Coffman,Wyoming,MWC,9,152,241,63.1,1939,8.0,7.7,18,10,147.0,45,-118,-2.6,0,cameron-coffman-1
33,Cooper Rush*,Central Michigan,MAC,13,324,489,66.3,3853,7.9,7.9,25,11,144.8,63,38,0.6,3,cooper-rush-1
34,Cody Kessler*,USC,Pac-12,14,298,446,66.8,3536,7.9,8.5,29,7,151.7,61,-149,-2.4,4,cody-kessler-1
35,Jake Coker*,Alabama,SEC,15,263,393,66.9,3110,7.9,8.1,21,8,147.0,74,68,0.9,2,jake-coker-1
36,Brett Rypien*,Boise State,MWC,11,272,428,63.6,3350,7.8,7.9,20,8,141.0,41,-77,-1.9,1,brett-rypien-1
37,Skyler Howard*,West Virginia,Big 12,13,221,403,54.8,3145,7.8,7.5,26,14,134.7,158,502,3.2,6,skyler-howard-1
38,Jake Rudock*,Michigan,Big Ten,13,249,389,64.0,3017,7.8,7.7,20,9,141.5,58,166,2.9,4,jake-rudock-1
39,C.J. Beathard*,Iowa,Big Ten,14,223,362,61.6,2809,7.8,8.1,17,5,139.5,100,237,2.4,6,cj-beathard-1
40,Kyle Allen*,Texas A&M,SEC,10,160,283,56.5,2210,7.8,7.9,17,7,137.0,65,102,1.6,2,kyle-allen-1
41,Brandon Harris*,LSU,SEC,12,149,277,53.8,2165,7.8,7.8,13,6,130.6,67,226,3.4,4,brandon-harris-4
42,Connor Cook*,Michigan State,Big Ten,13,229,408,56.1,3131,7.7,8.1,24,7,136.6,52,56,1.1,0,connor-cook-1
43,Nick Stevens*,Colorado State,MWC,13,210,346,60.7,2678,7.7,7.4,21,12,138.8,45,36,0.8,3,nick-stevens-1
44,Greyson Lambert*,Georgia,SEC,12,162,256,63.3,1959,7.7,8.2,12,2,141.5,29,-39,-1.3,1,greyson-lambert-1
45,Tanner Mangum*,Brigham Young,Ind,13,267,446,59.9,3377,7.6,7.6,23,10,136.0,62,-85,-1.4,2,tanner-mangum-1
46,Matt Linehan,Idaho,Sun Belt,11,246,390,63.1,2972,7.6,7.2,16,11,135.0,91,234,2.6,5,matt-linehan-1
47,John Wolford,Wake Forest,ACC,11,142,235,60.4,1791,7.6,6.3,9,11,127.7,73,67,0.9,3,john-wolford-1
48,Josh Rosen*,UCLA,Pac-12,13,292,487,60.0,3669,7.5,7.5,23,11,134.3,37,15,0.4,2,josh-rosen-1
49,Tommy Armstrong Jr*,Nebraska,Big Ten,12,222,402,55.2,3030,7.5,6.8,22,16,128.6,98,400,4.1,7,tommy-armstrong-jr-1
50,Phillip Ely*,Toledo,MAC,12,226,403,56.1,2965,7.4,7.4,23,10,131.8,27,-4,-0.1,1,phillip-ely-1
51,Driphus Jackson,Rice,CUSA,12,185,316,58.5,2348,7.4,7.6,18,7,135.3,108,167,1.5,3,driphus-jackson-1
52,Bryant Shirreffs*,Connecticut,American,12,168,279,60.2,2078,7.4,6.8,9,8,127.7,154,503,3.3,3,bryant-shirreffs-1
53,Perry Orth,South Carolina,SEC,12,143,261,54.8,1929,7.4,6.8,12,9,125.1,53,138,2.6,2,perry-orth-1
54,Lamar Jackson*,Louisville,ACC,12,135,247,54.7,1840,7.4,7.0,12,8,126.8,163,960,5.9,11,lamar-jackson-1
55,Justin Thomas,Georgia Tech,ACC,12,75,180,41.7,1339,7.4,6.9,13,8,119.1,144,485,3.4,6,justin-thomas-3
56,Mike Bercovici*,Arizona State,Pac-12,13,318,531,59.9,3854,7.3,7.6,30,9,136.1,109,84,0.8,6,mike-bercovici-1
57,Joel Stave*,Wisconsin,Big Ten,13,225,370,60.8,2687,7.3,6.5,11,11,125.7,33,-123,-3.7,1,joel-stave-1
58,Nathan Peterman*,Pitt,ACC,13,193,313,61.7,2287,7.3,7.4,20,8,139.0,85,232,2.7,1,nathan-peterman-1
59,Chris Laviano,Rutgers,Big Ten,12,187,307,60.9,2247,7.3,6.6,16,12,131.8,65,-38,-0.6,0,chris-laviano-1
60,Kenny Potter*,San Jose State,MWC,11,182,270,67.4,1984,7.3,7.3,15,7,142.3,114,415,3.6,7,kenny-potter-1
61,Fredi Knighten*,Arkansas State,Sun Belt,10,136,252,54.0,1835,7.3,7.2,19,9,132.9,138,400,2.9,5,fredi-knighten-1
62,Derrius Vick*,Ohio,MAC,10,158,248,63.7,1807,7.3,7.0,10,6,133.4,93,177,1.9,1,derrius-vick-1
63,Brandon Silvers,Troy,Sun Belt,11,201,329,61.1,2375,7.2,7.5,20,7,137.5,41,41,1.0,2,brandon-silvers-2
64,Tommy Woodson*,Akron,MAC,12,162,307,52.8,2202,7.2,6.6,16,11,123.1,135,603,4.5,3,tommy-woodson-1
65,Luke Falk*,Washington State,Pac-12,12,447,644,69.4,4561,7.1,7.7,38,8,145.9,82,-115,-1.4,3,luke-falk-1
66,Blake Kemp,East Carolina,American,11,260,375,69.3,2653,7.1,6.7,16,10,137.5,39,-8,-0.2,2,blake-kemp-1
67,Treon Harris*,Florida,SEC,11,119,235,50.6,1676,7.1,6.7,9,6,118.1,95,244,2.6,0,treon-harris-1
68,Matt Johns,Virginia,ACC,12,247,403,61.3,2810,7.0,6.1,20,17,127.8,61,86,1.4,1,matt-johns-1
69,Christian Hackenberg*,Penn State,Big Ten,13,192,359,53.5,2525,7.0,7.2,16,6,123.9,66,-80,-1.2,2,christian-hackenberg-1
70,Sefo Liufau,Colorado,Pac-12,11,213,344,61.9,2401,7.0,6.7,9,6,125.7,108,260,2.4,5,sefo-liufau-1
71,Cody Clements,South Alabama,Sun Belt,12,171,324,52.8,2272,7.0,5.7,13,15,115.7,84,95,1.1,3,cody-clements-1
72,Brooks Haack,Louisiana,Sun Belt,10,123,201,61.2,1407,7.0,5.9,5,7,121.2,46,83,1.8,2,brooks-haack-1
73,P.J. Walker*,Temple,American,14,245,432,56.7,2972,6.9,6.9,19,8,125.3,80,215,2.7,2,pj-walker-1
74,Chase Litton*,Marshall,CUSA,11,231,384,60.2,2608,6.8,7.1,23,8,132.8,48,44,0.9,0,chase-litton-1
75,Jacoby Brissett*,North Carolina State,ACC,13,237,395,60.0,2662,6.7,7.1,20,6,130.3,139,370,2.7,6,jacoby-brissett-2
76,Joshua Dobbs*,Tennessee,SEC,13,205,344,59.6,2291,6.7,6.9,15,5,127.0,146,671,4.6,11,joshua-dobbs-1
77,Matt Davis,SMU,American,12,182,336,54.2,2259,6.7,6.7,16,7,122.2,187,761,4.1,10,matt-davis-4
78,Travis Wilson*,Utah,Pac-12,12,195,314,62.1,2093,6.7,6.1,13,10,125.4,141,491,3.5,7,travis-wilson-4
79,Joe Hubener*,Kansas State,Big 12,13,131,275,47.6,1837,6.7,5.7,9,10,107.3,180,613,3.4,13,joe-hubener-1
80,Joe Licata,Buffalo,MAC,12,280,449,62.4,2969,6.6,5.8,16,15,123.0,33,-60,-1.8,1,joe-licata-1
81,Mitch Leidner*,Minnesota,Big Ten,13,242,407,59.5,2701,6.6,6.1,14,11,121.2,107,270,2.5,6,mitch-leidner-1
82,Tyler Jones,Texas State,Sun Belt,12,223,382,58.4,2517,6.6,6.1,14,10,120.6,139,593,4.3,10,tyler-jones-4
83,Brogan Roback,Eastern Michigan,MAC,12,209,344,60.8,2275,6.6,6.1,16,11,125.3,52,51,1.0,1,brogan-roback-1
84,Patrick Towles,Kentucky,SEC,11,183,326,56.1,2148,6.6,5.2,9,14,112.0,71,64,0.9,5,patrick-towles-1
85,Tyler Stewart*,Nevada,MWC,13,186,326,57.1,2138,6.6,6.5,15,7,123.0,98,322,3.3,4,tyler-stewart-1
86,Jaquez Johnson,Florida Atlantic,CUSA,10,128,239,53.6,1586,6.6,6.1,9,7,115.9,100,290,2.9,2,jaquez-johnson-1
87,Alex McGough,Florida International,CUSA,12,270,420,64.3,2722,6.5,6.6,21,8,131.4,88,95,1.1,3,alex-mcgough-1
88,Dalton Sturm,UTSA,CUSA,10,124,211,58.8,1361,6.5,6.2,13,7,126.6,128,356,2.8,1,dalton-sturm-1
89,Joel Lanning,Iowa State,Big 12,11,107,192,55.7,1247,6.5,6.6,10,4,123.3,94,330,3.5,4,joel-lanning-2
90,Billy Bahl,Miami (OH),MAC,11,98,220,44.5,1409,6.4,4.5,8,13,98.5,39,-70,-1.8,0,billy-bahl-1
91,Blake Frohnapfel,Massachusetts,MAC,12,266,472,56.4,2919,6.2,5.6,16,13,114.0,63,53,0.8,1,blake-frohnapfel-1
92,Thomas Sirk*,Duke,ACC,12,251,427,58.8,2624,6.1,6.1,16,8,119.0,163,809,5.0,8,thomas-sirk-1
93,Garrett Smith,Louisiana-Monroe,Sun Belt,10,191,334,57.2,2033,6.1,5.6,17,11,118.5,108,250,2.3,2,garrett-smith-2
94,Tanner Lee,Tulane,American,9,143,276,51.8,1639,5.9,5.6,11,7,109.8,23,-162,-7.0,0,tanner-lee-1
95,Riley Neal,Ball State,MAC,11,228,391,58.3,2276,5.8,5.9,16,6,117.6,88,399,4.5,2,riley-neal-1
96,Wes Lunt,Illinois,Big Ten,12,270,481,56.1,2761,5.7,5.8,14,6,111.5,24,-153,-6.4,1,wes-lunt-1
97,Johnny McCrary,Vanderbilt,SEC,10,146,267,54.7,1533,5.7,4.2,6,12,101.3,70,194,2.8,2,johnny-mccrary-1
98,Perry Hills,Maryland,Big Ten,9,90,180,50.0,1001,5.6,3.2,8,13,96.9,109,535,4.9,3,perry-hills-1
99,Ryan Willis,Kansas,Big 12,10,164,315,52.1,1719,5.5,4.5,8,10,99.9,58,-82,-1.4,0,ryan-willis-2
100,Justin Holman,UCF,American,9,127,250,50.8,1374,5.5,3.5,7,14,95.0,46,140,3.0,0,justin-holman-1
101,David Blough,Purdue,Big Ten,10,169,293,57.7,1574,5.4,4.8,10,8,108.6,67,94,1.4,4,david-blough-1
102,Shuler Bentley,Old Dominion,CUSA,10,140,269,52.0,1432,5.3,5.2,12,6,107.0,45,-36,-0.8,2,shuler-bentley-1
103,Clayton Thorson*,Northwestern,Big Ten,13,150,295,50.8,1522,5.2,4.3,7,9,95.9,100,397,4.0,5,clayton-thorson-1
104,Drew Lock,Missouri,SEC,12,129,263,49.0,1332,5.1,4.0,4,8,90.5,52,28,0.5,1,drew-lock-1
105,Damarcus Smith,North Texas,CUSA,10,99,211,46.9,1010,4.8,4.5,8,5,94.9,92,427,4.6,2,damarcus-smith-1
106,Lee McNeill,Charlotte,CUSA,10,100,189,52.9,878,4.6,2.4,1,10,83.1,33,-101,-3.1,1,lee-mcneill-1
